,bottleid,datetime,station,status,light,temperature,colour,odour,dirt,pH_rws_total_insitu,senshte,foam,ole,e,geldhd,salinity_rws,oxygen,aou_percent,wind_speed,wind_direction,pressure_air,chloride_gvol,sulfate_gvol,nitrite_gvol,nitrate_gvol,ammonia_gvol,phosphate_gvol,doc_gvol,silicate_gvol,lat,lon,depth,station_bottleid,doc_vol,nitrate_vol,nitrite_vol,ammonia_vol,din_vol,silicate_vol,phosphate_vol,sulfate_vol,chloride_vol,silicate_vol_unc,phosphate_vol_unc,nitrate_vol_unc,nitrite_vol_unc,ammonia_vol_unc,doc_vol_unc,salinity_nioz,datfile_stem,salinity,gid,rgb,datenum,day_of_year,dic,dic_std,dic_count,dic_poisoned,alkalinity,alkalinity_std,alkalinity_count,emf0,emf0_std,emf0_count,pH_vindta_free_lab,pH_vindta_free_lab_std,pH_vindta_free_lab_count,pH_vindta_temperature,pH_vindta_temperature_std,pH_vindta_temperature_count,alkalinity_poisoned,pH_spectro_total_lab,pH_spectro_total_lab_std,pH_spectro_total_lab_count,pH_spectro_temperature,density_nutrients,doc,nitrate,nitrite,ammonia,din,silicate,phosphate,sulfate,chloride,pH_calc12_total_25,pH_calc12_total_insitu,fco2_calc12_insitu,pH_calc12_total_20,pH_vindta_total_25,pH_vindta_total_20,pH_spectro_total_25,pH_spectro_total_20,pH_spectro_total_insitu,fco2_calc13s_insitu,fco2_calc23s_insitu,fco2_calc13v_insitu,fco2_calc23v_insitu,pH_vindta_total_insitu,dic_flag,alkalinity_flag,pH_spectro_flag,pH_vindta_flag,something_flag
0,2018005572,1/23/2018 11:27,WALCRN2,Authorised,,5.46,0,0,0,7.98,-350,0,0,,3056,31.23,9.33,91.06,9.6,192,,18271.3477,2543.5493,0.0046,0.5958,0.0579,30.6,1.5714,0.6619,51.54888889,3.410833333,3.5,WALCRN2_2018005572,130.8344296,42.53631525,0.328410625,4.133690254,46.99841613,23.56774079,0.987932948,26478.75599,515389.975,3.535161118,0.246983237,12.76089458,0.098523187,0.620053538,26.16688592,31.2,WALCRN2_2018005572,31.23,1,[[0.72 0.36 0.12]],736717.4771,23,2329.566113,,1,2327.238874,2454.304904,,1,642.1741612,,1,7.813206423,,1,25,,1,2451.853051,7.734505409,0.000404621,4,23.2,1.021078765,128.133533,41.65821162,0.32163104,4.048355913,46.02819857,23.08121724,0.967538433,25932.13854,504750.459,7.70551877,7.995104043,488.6023174,7.776541888,7.707478024,7.77840009,7.709167636,7.780122372,7.998027658,483.8261905,484.1219526,485.9916258,486.153602,7.996227198,2,2,2,2,2
1,2018005573,2/13/2018 16:12,WALCRN2,Authorised,,4.8,0,0,0,8.02,-350,0,0,,3017,31.45,9.34,89.64,16.4,180,1004,14281.2207,1339.0889,0.0055,0.6761,0.0374,33.3,1.5882,0.651,51.54888889,3.410833333,3.5,WALCRN2_2018005573,132.233194,48.26922246,0.392664877,2.670121166,51.33200851,23.17963326,1.075103502,13940.13013,402838.2635,3.476944988,0.268775876,14.48076674,0.117799463,0.400518175,26.4466388,31.4,WALCRN2_2018005573,31.45,1,[[0.72 0.36 0.12]],736738.675,44,2324.120688,,1,2321.798889,2455.349922,,1,639.6231208,,1,7.77346561,,1,25,,1,2452.897024,7.737072337,0.000559833,4,23.3,1.021245293,129.4823045,47.26506235,0.384496144,2.614573779,50.26413228,22.69741991,1.052737779,13650.12913,394457.89,7.718836264,8.019806718,457.1511901,7.790146558,7.71481556,7.785886342,7.713120408,7.784154067,8.012612733,464.3903439,463.9315806,462.1884399,461.869957,8.014434269,2,2,2,2,2
2,2018005574,3/15/2018 7:28,WALCRN2,Authorised,,4.14,0,0,0,7.13,-350,0,0,,2954,31.3,10.27,97.1,12,326,991.9,18086.3457,2292.2927,0.005,0.4733,0.0674,9.7,1.1966,0.2727,51.54888889,3.410833333,3.5,WALCRN2_2018005574,99.62866135,33.79059753,0.35696807,4.811929587,38.95949519,9.709809507,0.313168287,23863.1345,510171.5217,1.456471426,0.078292072,10.13717926,0.107090421,0.721789438,19.92573227,31.3,WALCRN2_2018005574,31.3,1,[[0.72 0.36 0.12]],736768.3111,74,2262.957782,,1,2260.697085,2433.63834,,1,641.460758,,1,7.913555691,,1,25,,1,2431.207133,7.856821663,0.00036237,4,23.1,1.021131749,97.56690208,33.09132007,0.349580816,4.712349403,38.15325029,9.508870445,0.306687445,23369.30031,499613.8081,7.817632674,8.135310699,336.309708,7.890757599,7.81729692,7.890241322,7.829214402,7.902345704,8.146418542,325.8244128,326.5580846,336.6152997,336.5938621,8.133845192,2,2,2,2,2
3,2018005575,4/18/2018 22:14,WALCRN2,Authorised,,9.17,0,0,0,8.56,-350,0,0,,3417,31.71,10.86,120.9,5.8,136,1026.6,18884.9707,2550.8892,0.0032,0.2477,0.0073,3.7,1.4798,0.0187,51.54888889,3.410833333,3.5,WALCRN2_2018005575,123.2078331,17.6841982,0.228459565,0.521173383,18.43383115,0.665835855,0.119455945,26555.16552,532698.7772,0.099875378,0.029863986,5.30525946,0.068537869,0.078176007,24.64156662,31.7,WALCRN2_2018005575,31.71,1,[[0.72 0.36 0.12]],736802.9264,108,2160.747863,,1,2158.589274,2464.447549,,1,642.4896346,,1,8.164215617,,1,25,,1,2461.985564,8.106774554,0.001109671,4,22.7,1.021442125,120.6214528,17.31297131,0.223663739,0.510232905,18.04686796,0.651858622,0.116948324,25997.71918,521516.3584,8.064164672,8.309991482,213.5084516,8.140175929,8.058961209,8.134782341,8.071996762,8.147939522,8.317456117,208.7998394,209.2494612,216.7117523,216.4035553,8.304070743,2,2,2,2,2
4,2018005576,5/16/2018 10:52,WALCRN2,Authorised,,12.86,,,,8.45,-350,,,,3746,31.76,8.71,101.7,4,360,1029,18341.3984,2625.6101,0.0014,0.0062,0.0132,4.8,2.1709,0.0492,51.54888889,3.410833333,3.5,WALCRN2_2018005576,180.748672,0.442640407,0.09995106,0.942395706,1.484987172,1.751824818,0.154969874,27333.02207,517365.9337,0.262773723,0.038742469,0.132792122,0.029985318,0.141359356,36.1497344,31.8,WALCRN2_2018005576,31.76,1,[[0.72 0.36 0.12]],736830.4528,136,2020.066553,,1,2018.048505,2441.160469,,1,641.9270689,,1,8.332193045,,1,25,,1,2438.721748,8.259082482,0.000989488,4,24.4,1.02147998,176.947836,0.433332435,0.09784926,0.922578733,1.453760427,1.714986932,0.151711122,26758.25528,506486.6114,8.244286692,8.434563885,146.2124484,8.321730331,8.22428911,8.301554406,8.249843993,8.327317398,8.440178611,143.7659439,144.0479422,155.3223035,154.2483343,8.414143603,2,2,2,2,2
5,2018005577,6/11/2018 16:01,WALCRN2,Authorised,,15.67,,,,8.15,-350,,,,4011,31.9,7.77,94.99,7.9,60,1010.5,18957.5234,2593.5549,0.002,-0.0011,0.0118,7.2,1.4702,0.0202,51.54888889,3.410833333,3.5,WALCRN2_2018005577,122.4085391,0,0.142787228,0.842444646,0.906698899,0.719245149,0.232454811,26999.3223,534745.3112,0.107886772,0.058113703,0,0.042836168,0.126366697,24.48170782,31.9,WALCRN2_2018005577,31.9,1,[[0.72 0.36 0.12]],736856.6674,162,2147.798144,,1,2145.652491,2435.925154,,1,642.3394848,,1,8.143083709,,1,25,,1,2433.491662,8.056902262,0.000891858,4,24.4,1.02158598,119.8220625,0,0.139770152,0.824643899,0.887540468,0.704047591,0.227543071,26428.8301,523446.2116,8.039386887,8.181927567,299.3665533,8.11515925,8.036569709,8.112183772,8.047881447,8.123604341,8.190292134,292.2657033,292.9393794,301.7577588,301.5292604,8.178785207,2,2,2,2,2
6,2018005578,7/18/2018 17:25,WALCRN2,Authorised,,19.95,0,0,0,8.2,-350,0,0,,4389,31.75,10.06,133.57,2,260,1018.1,18009.3418,2483.6934,0.0038,0.0031,0.0152,6.9,1.7921,0.0292,51.54888889,3.410833333,3.5,WALCRN2_2018005578,149.2098646,0.221320204,0.271295733,1.085182934,1.577798871,1.039700908,0.222769194,25855.64647,507999.4302,0.155955136,0.055692299,0.066396061,0.08138872,0.16277744,29.84197292,31.8,WALCRN2_2018005578,31.75,1,[[0.72 0.36 0.12]],736893.7257,199,,,0,,2476.435746,,1,642.5590222,,1,,,0,25,,1,2473.961784,8.019460243,0.000842079,4,24.4,1.021472409,146.0733186,0.216667823,0.265592816,1.062371263,1.544631903,1.017845317,0.218086355,25312.13398,497320.7556,,,,,,,8.010485681,8.085840177,8.086600534,395.5625233,,,,,9,2,2,9,9
7,2018005579,8/16/2018 21:30,WALCRN2,Authorised,,20.69,0,0,0,8.06,-350,0,0,,4480,31.92,5.86,79,4,192,1013.8,17717.416,2592.0879,0.0117,0.0419,0.0981,27.4,1.7917,0.3991,51.54888889,3.410833333,3.5,WALCRN2_2018005579,149.1765607,2.991392429,0.835305284,7.003713539,10.83041125,14.21043262,0.884619698,26984.05059,499764.9183,2.131564892,0.221154925,0.897417729,0.250591585,1.050557031,29.83531214,,No Sample,31.92,1,[[0.72 0.36 0.12]],736922.8958,228,,,0,,,,0,,,0,,,0,,,0,,,,,,1.021601124,146.0223146,2.928141287,0.817643271,6.855624349,10.60140891,13.90996181,0.865914962,26413.48954,489197.6983,,,,,,,,,,,,,,,9,9,9,9,9
8,2018005580,9/12/2018 11:06,WALCRN2,Authorised,,18.7,0,0,0,8.86,-350,0,0,,4345,32.38,6.12,79.44,7.8,21,1020,15155.9102,1881.0181,0.0052,0.0177,0.0376,13,0.9361,0.1772,51.54888889,3.410833333,3.5,WALCRN2_2018005580,77.93948679,1.263666969,0.371246793,2.684399888,4.31931365,6.309417839,0.419710076,19581.69998,427511.1124,0.946412676,0.104927519,0.379100091,0.111374038,0.402659983,15.58789736,32.5,WALCRN2_2018005580,32.38,1,[[0.72 0.36 0.12]],736949.4625,255,2202.819312,,1,2200.618693,2426.311517,,1,644.5220018,,1,7.993192205,,1,25,,1,2423.88763,7.926715136,0.00031973,4,25,1.021949469,76.26549953,1.236525882,0.36327314,2.626744246,4.226543268,6.173903923,0.410695527,19161.12348,418329.0125,7.915453528,8.009577838,475.0187723,7.989957861,7.91402796,7.988346873,7.926715136,8.001187472,8.020787583,460.6291965,461.835193,476.8672427,476.7112427,8.007909672,2,2,2,2,2
9,2018005581,10/17/2018 10:59,WALCRN2,Authorised,,16.48,0,0,0,9.12,-350,0,0,,4160,32.55,5.13,63.92,6.2,236,1018.2,20102.5156,2765.4666,0.0037,0.016,0.0284,11.8,1.2138,0.0966,51.54888889,3.410833333,3.5,WALCRN2_2018005581,101.0607297,1.142297825,0.264156372,2.027578639,3.434032836,3.439558483,0.380967607,28788.95066,567042.7373,0.515933772,0.095241902,0.342689347,0.079246912,0.304136796,20.21214594,32.55,WALCRN2_2018005581,32.55,1,[[0.72 0.36 0.12]],736984.4576,290,2211.472745,,1,2209.263481,2423.564522,,1,646.2233429,,1,7.987298648,,1,25,,1,2421.143379,7.883500676,0.001108203,4,25,1.022078228,98.87768564,1.117622697,0.258450249,1.983780286,3.359853232,3.365259518,0.372738208,28167.07164,554793.8719,7.891282692,8.018664034,461.7493034,7.965481256,7.875662308,7.949483014,7.883500676,7.957424213,8.01038552,471.6385179,470.8253158,481.792689,480.1362266,8.002378267,2,2,2,2,2
