index,bottled_date,analysis_date,opened_date,analysis_batch,location,sample,name,measurement_t,preacid_t,postacid_t,extra_time,sample_v,rinsing_v,filling_speed,rinsing_speed,pumping_speed,acid_strokes,nb_of_rinses,rinsing_mode,rinse_for_replicates,database_name,file_name,flag,comments,run_type,station,cast,niskin,depth,temperature_insitu,salinity,density,mass_sample,temperature,rep,area,dic,dic_factor,unit,CV (µmol),cv_percent,lastcrm_dic_measured,lastcrm_dic_certified,lastcrm_batch,mode_calculation,mode_integration,comment,latitude,longitude,date,time,area_1,area_2,area_3,area_4,datetime,datenum,area_av_4,area_av_3,CF_3,CF_4,TCO2_3,TCO2_4
0,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM1,400,60,120,0,1500,1000,150,150,15,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM1.dat,2,,bottle,0,0,0,0,4.0,33.525,1.02264,1533.96,23.6,4,28794,309.72,0.0165,µmol/kg,3.464085,1.118454,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,12:11,29256,28734,28510,28678,2020-09-22 12:11:00,737690.5076388889,28794.5,28640.666666666668,107.55129346157833,107.02004688502035,2008.0971769810888,2008.910753885837
1,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM2,400,60,120,0,1700,1000,150,150,17,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM2.dat,2,,bottle,0,0,0,0,4.0,33.525,1.0225899999999999,1738.403,23.78,4,32646,309.86,0.0165,µmol/kg,2.829011,0.9130020000000001,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,13:17,33085,32526,32422,32550,2020-09-22 13:17:00,737690.5534722222,32645.75,32499.333333333332,107.55129346157833,107.02004688502035,2010.6645792943225,2009.7467017697584
2,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM3,400,60,120,0,1700,1000,150,150,17,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM3.dat,2,,bottle,0,0,0,0,4.0,33.525,1.02257,1738.369,23.86,4,32723,310.6,0.0165,µmol/kg,3.392964,1.0924040000000002,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,13:39,33253,32544,32482,32612,2020-09-22 13:39:00,737690.56875,32722.75,32546.0,107.55129346157833,107.02004688502035,2013.5911288112754,2014.5263975639234
3,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM4,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM4.dat,2,,bottle,0,0,0,0,4.0,33.525,1.02254,1840.572,23.94,4,34619,310.34,0.0165,µmol/kg,3.5135160000000005,1.1321350000000001,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,14:01,35190,34298,34514,34475,2020-09-22 14:01:00,737690.5840277778,34619.25,34429.0,107.55129346157833,107.02004688502035,2011.8112644268629,2012.936064508338
4,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM5,400,60,120,0,1900,1000,150,150,19,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM5.dat,2,,bottle,0,0,0,0,4.0,33.525,1.02253,1942.807,23.99,4,36537,310.3,0.0165,µmol/kg,3.807947,1.227166,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,14:23,37204,36278,36398,36269,2020-09-22 14:23:00,737690.5993055556,36537.25,36315.0,107.55129346157833,107.02004688502035,2010.3516314575854,2012.6642574634075
5,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM6,400,60,120,0,2200,1000,150,150,22,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM6.dat,2,,bottle,0,0,0,0,4.0,33.525,1.0225,2249.5,24.09,4,42392,310.94,0.0165,µmol/kg,1.982441,0.637556,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,14:50,42750,42410,42301,42105,2020-09-22 14:50:00,737690.6180555555,42391.5,42272.0,107.55129346157833,107.02004688502035,2021.075028765432,2016.7772027234232
6,28/07/2020,22/09/2020,22/09/2020,1,B1,27,B127,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B127.dat,2,,bottle,0,0,0,0,4.0,30.15,1.02014,1836.252,23.44,4,39255,352.73,0.0165,µmol/kg,2.843441,0.806114,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,15:15,39702,38960,39209,39148,2020-09-22 15:15:00,737690.6354166666,39254.75,39105.666666666664,107.55129346157833,107.02004688502035,2290.461783936697,2287.8369556355838
7,28/07/2020,22/09/2020,22/09/2020,1,B1,25,B125,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B125.dat,2,,bottle,0,0,0,0,4.0,30.15,1.02041,1836.738,22.45,4,39312,353.15,0.0165,µmol/kg,2.493292,0.706014,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,15:38,39718,39091,39239,39202,2020-09-22 15:38:00,737690.651388889,39312.5,39177.333333333336,107.55129346157833,107.02004688502035,2294.052213421516,2290.596477650793
8,28/07/2020,22/09/2020,22/09/2020,1,B1,22,B122,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B122.dat,2,,bottle,0,0,0,0,4.0,30.15,1.02034,1836.612,22.73,4,39329,353.33,0.0165,µmol/kg,2.12567,0.6016100000000001,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,16:18,39672,39274,39132,39237,2020-09-22 16:18:00,737690.6791666667,39328.75,39214.333333333336,107.55129346157833,107.02004688502035,2296.376301708519,2291.700516455977
9,28/07/2020,22/09/2020,22/09/2020,1,B1,24,B124,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B124.dat,2,,bottle,0,0,0,0,4.0,30.15,1.02024,1836.432,23.08,4,39240,352.56,0.0165,µmol/kg,2.319698,0.65795,2000.0,0.0,186,average,by LI-COR,,0.0,0.0,09/22/20,16:41,39594,39175,39213,38976,2020-09-22 16:41:00,737690.6951388889,39239.5,39121.333333333336,107.55129346157833,107.02004688502035,2291.154805591255,2286.724000531877
