index,bottled_date,analysis_date,opened_date,analysis_batch,location,sample,name,measurement_t,preacid_t,postacid_t,extra_time,sample_v,rinsing_v,filling_speed,rinsing_speed,pumping_speed,acid_strokes,nb_of_rinses,rinsing_mode,rinse_for_replicates,database_name,file_name,flag,comments,temperature,salinity,density,mass_sample,time,area_1,area_2,area_3,area_4,area_av_4,area_av_3,CF_3,CF_4,TCO2_3,TCO2_4
0,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM1,400,60,120,0,1500,1000,150,150,15,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM1.dat,2,,23.6,33.525,1.02264,1533.96,12:11,29256,28734,28510,28678,28794.5,28640.666666666668,107.55129346157833,107.02004688502035,2008.0971769810888,2008.910753885837
1,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM2,400,60,120,0,1700,1000,150,150,17,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM2.dat,2,,23.78,33.525,1.0225899999999999,1738.403,13:17,33085,32526,32422,32550,32645.75,32499.333333333332,107.55129346157833,107.02004688502035,2010.6645792943225,2009.7467017697584
2,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM3,400,60,120,0,1700,1000,150,150,17,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM3.dat,2,,23.86,33.525,1.02257,1738.369,13:39,33253,32544,32482,32612,32722.75,32546.0,107.55129346157833,107.02004688502035,2013.5911288112754,2014.5263975639234
3,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM4,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM4.dat,2,,23.94,33.525,1.02254,1840.572,14:01,35190,34298,34514,34475,34619.25,34429.0,107.55129346157833,107.02004688502035,2011.8112644268629,2012.936064508338
4,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM5,400,60,120,0,1900,1000,150,150,19,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM5.dat,2,,23.99,33.525,1.02253,1942.807,14:23,37204,36278,36398,36269,36537.25,36315.0,107.55129346157833,107.02004688502035,2010.3516314575854,2012.6642574634075
5,28/06/2019,22/09/2020,16/09/2020,1,CRM,186-0809,CRM6,400,60,120,0,2200,1000,150,150,22,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM6.dat,2,,24.09,33.525,1.0225,2249.5,14:50,42750,42410,42301,42105,42391.5,42272.0,107.55129346157833,107.02004688502035,2021.075028765432,2016.7772027234232
6,28/07/2020,22/09/2020,22/09/2020,1,B1,27,B127,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B127.dat,2,,23.44,30.15,1.02014,1836.252,15:15,39702,38960,39209,39148,39254.75,39105.666666666664,107.55129346157833,107.02004688502035,2290.461783936697,2287.8369556355838
7,28/07/2020,22/09/2020,22/09/2020,1,B1,25,B125,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B125.dat,2,,22.45,30.15,1.02041,1836.738,15:38,39718,39091,39239,39202,39312.5,39177.333333333336,107.55129346157833,107.02004688502035,2294.052213421516,2290.596477650793
8,28/07/2020,22/09/2020,22/09/2020,1,B1,22,B122,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B122.dat,2,,22.73,30.15,1.02034,1836.612,16:18,39672,39274,39132,39237,39328.75,39214.333333333336,107.55129346157833,107.02004688502035,2296.376301708519,2291.700516455977
9,28/07/2020,22/09/2020,22/09/2020,1,B1,24,B124,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B124.dat,2,,23.08,30.15,1.02024,1836.432,16:41,39594,39175,39213,38976,39239.5,39121.333333333336,107.55129346157833,107.02004688502035,2291.154805591255,2286.724000531877
11,28/07/2020,22/09/2020,22/09/2020,1,B1,29_2,B129_2,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B129_2.dat,2,,22.79,33.525,1.02288,1841.184,17:10,39527,38699,38620,38430,38819.0,38583.0,107.55129346157833,107.02004688502035,2253.795142488788,2256.3802422949607
14,28/06/2019,23/09/2020,16/09/2020,2,CRM,186-0809,CRM9,400,60,120,0,1700,1000,150,150,17,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM9.dat,2,,22.97,33.525,1.02283,1738.811,07:32,32835,32546,32480,32287,32537.0,32437.666666666668,107.82373253664748,107.47491090783788,2011.460874574403,2011.0933138842124
15,28/06/2019,23/09/2020,16/09/2020,2,CRM,186-0809,CRM10,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM10.dat,2,,22.99,33.525,1.02282,1841.076,07:54,34743,34484,34386,34239,34463.0,34369.666666666664,107.82373253664748,107.47491090783788,2012.880373238473,2011.816923699411
16,28/06/2019,23/09/2020,16/09/2020,2,CRM,186-0809,CRM11,400,60,120,0,1900,1000,150,150,19,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM11.dat,2,,23.05,33.525,1.0228,1943.32,08:15,36724,36467,36263,36282,36434.0,36337.333333333336,107.82373253664748,107.47491090783788,2016.1511796453176,2014.9748389437486
17,28/06/2019,23/09/2020,16/09/2020,2,CRM,186-0809,CRM12,400,60,120,0,2200,1000,150,150,22,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM12.dat,2,,23.16,33.525,1.0227700000000002,2250.094,08:41,42705,41790,42082,41956,42133.25,41942.666666666664,107.82373253664748,107.47491090783788,2009.878197328834,2012.4791630961458
18,28/07/2020,23/09/2020,23/09/2020,2,B1,23,B123,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B123.dat,2,,23.02,30.15,1.02026,1836.468,09:05,39591,38896,38915,38971,39093.25,38927.333333333336,107.82373253664748,107.47491090783788,2285.523285839043,2287.839244053168
19,28/07/2020,23/09/2020,23/09/2020,2,B1,28,B128,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B128.dat,2,,23.02,30.15,1.02026,1836.468,09:29,39509,39038,38726,39006,39069.75,38923.333333333336,107.82373253664748,107.47491090783788,2285.2884356101545,2286.4639625855175
20,28/07/2020,23/09/2020,23/09/2020,2,B1,21,B121,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B121.dat,2,,23.03,30.15,1.02025,1836.45,09:52,39297,38982,38779,38828,38971.5,38863.0,107.82373253664748,107.47491090783788,2281.7684759028184,2280.736470061697
21,28/07/2020,23/09/2020,23/09/2020,2,B1,17,B117,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B117.dat,2,,22.81,30.15,1.02031,1836.558,10:16,39547,38946,38727,38488,38927.0,38720.333333333336,107.82373253664748,107.47491090783788,2273.2583806572784,2277.998221079544
22,28/07/2020,23/09/2020,23/09/2020,2,B1,26,B126,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B126.dat,2,,23.08,30.15,1.02024,1836.432,10:39,39505,38999,38743,38445,38923.0,38729.0,107.82373253664748,107.47491090783788,2273.923204023792,2277.920422463654
23,28/07/2020,23/09/2020,23/09/2020,2,B1,19,B119,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B119.dat,2,,23.09,30.15,1.02024,1836.432,11:01,39602,38847,38858,38609,38979.0,38771.333333333336,107.82373253664748,107.47491090783788,2276.4087510033255,2281.1977531847697
24,28/07/2020,23/09/2020,23/09/2020,2,B1,16,B116,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B120.dat,2,,23.1,30.15,1.02023,1836.414,11:28,39312,39064,39089,38735,39050.0,38962.666666666664,107.82373253664748,107.47491090783788,2287.665063314273,2285.3753407189606
25,28/07/2020,23/09/2020,23/09/2020,2,B1,20,B120,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B116.dat,2,,23.18,30.15,1.02021,1836.378,11:51,39726,38887,39030,39072,39178.75,38996.333333333336,107.82373253664748,107.47491090783788,2289.686663226898,2292.955298816721
26,28/07/2020,23/09/2020,23/09/2020,2,B1,18,B118,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B118.dat,2,,23.27,30.15,1.02019,1836.342,12:30,39609,39048,39008,38736,39100.25,38930.666666666664,107.82373253664748,107.47491090783788,2285.875828217208,2288.4059098055745
27,28/07/2020,23/09/2020,23/09/2020,2,B1,30,B130,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)B130.dat,2,,23.41,30.15,1.02015,1836.27,12:53,39736,38836,38994,38919,39121.25,38916.333333333336,107.82373253664748,107.47491090783788,2285.1238198306096,2289.72474546404
28,28/06/2019,23/09/2020,16/09/2020,2,CRMS,186-0809,CRM13,400,60,120,0,1800,1000,150,150,18,3,3,all to stripper,no,LD_B1.dbs,0-0 0 (0)CRM13.dat,2,,23.25,33.525,1.02274,1840.932,13:16,34640,34224,34078,34138,34270.0,34146.666666666664,107.82373253664748,107.47491090783788,1999.9766714276914,2000.7068141634804
