#--- Experiment --------------------------------------------------------------------------
#30072020_J6
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	8 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	TRUE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	30/07/2020	30/07/2020	01/01/2001	8.244000	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.811000	0.000000	0.000000	21.932098	4.007550	20.000000	2.000000	622.640259	54.128998	10.063831	20.000000	6.500000	622.800415	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
30-07-2020	11:55:45.202	0.023	7.988	7.988	29.328	290	0	622.673	OK	30-07-2020	11:55:45.202	0.023	20.000	OK
30-07-2020	11:56:00.201	15.022	7.988	7.988	29.328	290	0	622.681	OK	30-07-2020	11:56:00.201	15.022	20.000	OK
30-07-2020	11:56:15.201	30.022	7.990	7.990	29.342	290	0	622.685	OK	30-07-2020	11:56:15.201	30.022	20.000	OK
30-07-2020	11:56:30.200	45.021	7.990	7.990	29.340	290	1	622.688	OK	30-07-2020	11:56:30.200	45.021	20.000	OK
30-07-2020	11:56:45.200	60.021	7.989	7.989	29.323	290	0	622.692	OK	30-07-2020	11:56:45.200	60.021	20.000	OK
30-07-2020	11:57:00.200	75.021	7.990	7.990	29.338	290	0	622.694	OK	30-07-2020	11:57:00.200	75.021	20.000	OK
30-07-2020	11:57:15.201	90.022	7.990	7.990	29.335	290	-1	622.699	OK	30-07-2020	11:57:15.201	90.022	20.000	OK
30-07-2020	11:57:30.201	105.022	7.992	7.992	29.356	290	0	622.703	OK	30-07-2020	11:57:30.201	105.022	20.000	OK
30-07-2020	11:57:45.200	120.022	7.991	7.991	29.350	290	0	622.709	OK	30-07-2020	11:57:45.200	120.022	20.000	OK
30-07-2020	11:58:00.201	135.022	7.989	7.989	29.321	290	0	622.711	OK	30-07-2020	11:58:00.201	135.022	20.000	OK
30-07-2020	11:58:15.201	150.022	7.991	7.991	29.345	289	0	622.716	OK	30-07-2020	11:58:15.201	150.022	20.000	OK
30-07-2020	11:58:30.202	165.023	7.992	7.992	29.356	289	0	622.720	OK	30-07-2020	11:58:30.202	165.023	20.000	OK
30-07-2020	11:58:45.202	180.023	7.991	7.991	29.335	289	-1	622.724	OK	30-07-2020	11:58:45.202	180.023	20.000	OK
30-07-2020	11:59:00.203	195.024	7.993	7.993	29.357	289	1	622.727	OK	30-07-2020	11:59:00.203	195.024	20.000	OK
30-07-2020	11:59:15.203	210.024	7.991	7.991	29.332	289	-1	622.735	OK	30-07-2020	11:59:15.203	210.024	20.000	OK
30-07-2020	11:59:30.202	225.023	7.991	7.991	29.337	289	0	622.739	OK	30-07-2020	11:59:30.202	225.023	20.000	OK
30-07-2020	11:59:45.206	240.027	7.991	7.991	29.330	289	-1	622.746	OK	30-07-2020	11:59:45.206	240.027	20.000	OK
30-07-2020	12:00:00.203	255.024	7.992	7.992	29.335	289	-1	622.750	OK	30-07-2020	12:00:00.203	255.024	20.000	OK
30-07-2020	12:00:15.204	270.025	7.992	7.992	29.343	289	-1	622.752	OK	30-07-2020	12:00:15.204	270.025	20.000	OK
30-07-2020	12:00:30.203	285.024	7.992	7.992	29.331	289	-1	622.757	OK	30-07-2020	12:00:30.203	285.024	20.000	OK
30-07-2020	12:00:45.204	300.026	7.993	7.993	29.341	289	-1	622.761	OK	30-07-2020	12:00:45.204	300.026	20.000	OK
30-07-2020	12:01:00.205	315.026	7.993	7.993	29.348	289	1	622.763	OK	30-07-2020	12:01:00.205	315.026	20.000	OK
30-07-2020	12:01:15.205	330.026	7.994	7.994	29.350	289	0	622.768	OK	30-07-2020	12:01:15.205	330.026	20.000	OK
30-07-2020	12:01:30.206	345.027	7.992	7.992	29.322	289	-1	622.772	OK	30-07-2020	12:01:30.206	345.027	20.000	OK
30-07-2020	12:01:45.207	360.028	7.991	7.991	29.315	289	-1	622.774	OK	30-07-2020	12:01:45.207	360.028	20.000	OK
30-07-2020	12:02:00.207	375.028	7.992	7.992	29.328	289	-1	622.776	OK	30-07-2020	12:02:00.207	375.028	20.000	OK
