#--- Experiment --------------------------------------------------------------------------
#20082020_CRM1
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	8 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	TRUE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	20/08/2020	20/08/2020	01/01/2001	8.244000	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.811000	0.000000	0.000000	22.836300	4.007550	20.000000	2.000000	622.576843	53.998096	10.063831	20.000000	6.500000	622.560425	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
20-08-2020	13:06:48.097	0.064	8.257	8.257	30.349	281	0	622.657	OK	20-08-2020	13:06:48.097	0.064	20.000	OK
20-08-2020	13:07:03.097	15.064	8.265	8.265	30.450	280	0	622.662	OK	20-08-2020	13:07:03.097	15.064	20.000	OK
20-08-2020	13:07:18.097	30.064	8.269	8.269	30.500	279	0	622.668	OK	20-08-2020	13:07:18.097	30.064	20.000	OK
20-08-2020	13:07:33.097	45.064	8.273	8.273	30.542	279	0	622.672	OK	20-08-2020	13:07:33.097	45.064	20.000	OK
20-08-2020	13:07:48.099	60.065	8.278	8.278	30.608	278	0	622.677	OK	20-08-2020	13:07:48.099	60.065	20.000	OK
20-08-2020	13:08:03.099	75.066	8.284	8.284	30.682	277	0	622.681	OK	20-08-2020	13:08:03.099	75.066	20.000	OK
20-08-2020	13:08:18.100	90.066	8.287	8.287	30.717	277	0	622.685	OK	20-08-2020	13:08:18.100	90.066	20.000	OK
20-08-2020	13:08:33.099	105.066	8.288	8.288	30.733	277	0	622.690	OK	20-08-2020	13:08:33.099	105.066	20.000	OK
20-08-2020	13:08:48.100	120.066	8.292	8.292	30.789	276	0	622.692	OK	20-08-2020	13:08:48.100	120.066	20.000	OK
20-08-2020	13:09:03.100	135.066	8.297	8.297	30.844	276	0	622.699	OK	20-08-2020	13:09:03.100	135.066	20.000	OK
20-08-2020	13:09:18.099	150.066	8.299	8.299	30.876	275	0	622.701	OK	20-08-2020	13:09:18.099	150.066	20.000	OK
20-08-2020	13:09:33.099	165.066	8.302	8.302	30.910	275	-1	622.707	OK	20-08-2020	13:09:33.099	165.066	20.000	OK
20-08-2020	13:09:48.100	180.066	8.303	8.303	30.923	274	0	622.712	OK	20-08-2020	13:09:48.100	180.066	20.000	OK
20-08-2020	13:10:03.099	195.066	8.306	8.306	30.961	274	0	622.716	OK	20-08-2020	13:10:03.099	195.066	20.000	OK
20-08-2020	13:10:18.100	210.066	8.309	8.309	30.991	274	0	622.720	OK	20-08-2020	13:10:18.100	210.066	20.000	OK
20-08-2020	13:10:33.101	225.067	8.311	8.311	31.023	274	1	622.722	OK	20-08-2020	13:10:33.101	225.067	20.000	OK
20-08-2020	13:10:48.101	240.067	8.313	8.313	31.038	273	0	622.727	OK	20-08-2020	13:10:48.101	240.067	20.000	OK
20-08-2020	13:11:03.102	255.068	8.314	8.314	31.061	273	0	622.729	OK	20-08-2020	13:11:03.102	255.068	20.000	OK
20-08-2020	13:11:18.103	270.070	8.316	8.316	31.087	273	0	622.733	OK	20-08-2020	13:11:18.103	270.070	20.000	OK
20-08-2020	13:11:33.102	285.068	8.318	8.318	31.108	273	0	622.737	OK	20-08-2020	13:11:33.102	285.068	20.000	OK
20-08-2020	13:11:48.102	300.068	8.318	8.318	31.108	272	0	622.742	OK	20-08-2020	13:11:48.102	300.068	20.000	OK
20-08-2020	13:12:03.102	315.069	8.322	8.322	31.164	272	0	622.744	OK	20-08-2020	13:12:03.102	315.069	20.000	OK
20-08-2020	13:12:18.103	330.069	8.322	8.322	31.159	272	0	622.746	OK	20-08-2020	13:12:18.103	330.069	20.000	OK
20-08-2020	13:12:33.101	345.068	8.324	8.324	31.184	272	0	622.748	OK	20-08-2020	13:12:33.101	345.068	20.000	OK
20-08-2020	13:12:48.102	360.069	8.326	8.326	31.205	272	0	622.752	OK	20-08-2020	13:12:48.102	360.069	20.000	OK
