#--- Experiment --------------------------------------------------------------------------
#20082020_B1S2
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	8 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	TRUE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	20/08/2020	20/08/2020	01/01/2001	8.244000	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.811000	0.000000	0.000000	22.836300	4.007550	20.000000	2.000000	622.576843	53.998096	10.063831	20.000000	6.500000	622.560425	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
20-08-2020	14:28:49.081	0.033	8.170	8.170	29.292	292	0	622.694	OK	20-08-2020	14:28:49.081	0.033	20.000	OK
20-08-2020	14:29:04.077	15.029	8.173	8.173	29.327	292	0	622.688	OK	20-08-2020	14:29:04.077	15.029	20.000	OK
20-08-2020	14:29:19.079	30.031	8.175	8.175	29.361	292	0	622.681	OK	20-08-2020	14:29:19.079	30.031	20.000	OK
20-08-2020	14:29:34.078	45.031	8.178	8.178	29.388	292	0	622.673	OK	20-08-2020	14:29:34.078	45.031	20.000	OK
20-08-2020	14:29:49.078	60.030	8.182	8.182	29.441	291	0	622.664	OK	20-08-2020	14:29:49.078	60.030	20.000	OK
20-08-2020	14:30:04.080	75.032	8.180	8.180	29.426	291	0	622.655	OK	20-08-2020	14:30:04.080	75.032	20.000	OK
20-08-2020	14:30:19.080	90.032	8.183	8.183	29.464	291	0	622.647	OK	20-08-2020	14:30:19.080	90.032	20.000	OK
20-08-2020	14:30:34.079	105.031	8.184	8.184	29.482	291	1	622.636	OK	20-08-2020	14:30:34.079	105.031	20.000	OK
20-08-2020	14:30:49.080	120.033	8.185	8.185	29.493	291	0	622.629	OK	20-08-2020	14:30:49.080	120.033	20.000	OK
20-08-2020	14:31:04.082	135.034	8.187	8.187	29.527	291	0	622.619	OK	20-08-2020	14:31:04.082	135.034	20.000	OK
20-08-2020	14:31:19.082	150.034	8.187	8.187	29.532	291	0	622.610	OK	20-08-2020	14:31:19.082	150.034	20.000	OK
20-08-2020	14:31:34.083	165.035	8.191	8.191	29.576	291	0	622.601	OK	20-08-2020	14:31:34.083	165.035	20.000	OK
20-08-2020	14:31:49.082	180.034	8.191	8.191	29.582	291	0	622.592	OK	20-08-2020	14:31:49.082	180.034	20.000	OK
20-08-2020	14:32:04.082	195.034	8.191	8.191	29.589	290	0	622.579	OK	20-08-2020	14:32:04.082	195.034	20.000	OK
20-08-2020	14:32:19.084	210.036	8.193	8.193	29.615	290	0	622.567	OK	20-08-2020	14:32:19.084	210.036	20.000	OK
20-08-2020	14:32:34.084	225.036	8.192	8.192	29.616	290	0	622.560	OK	20-08-2020	14:32:34.084	225.036	20.000	OK
20-08-2020	14:32:49.084	240.036	8.192	8.192	29.616	290	0	622.551	OK	20-08-2020	14:32:49.084	240.036	20.000	OK
20-08-2020	14:33:04.085	255.037	8.194	8.194	29.644	290	0	622.543	OK	20-08-2020	14:33:04.085	255.037	20.000	OK
