#--- Experiment --------------------------------------------------------------------------
#TERSLG175_2020005984
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/10/2020	9/10/2020	9/10/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.361949	23.960201	4.007550	20.000000	2.000000	622.679260	53.029198	10.063831	20.000000	6.500000	622.686829	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
10-09-2020	13:44:10.481	0.023	7.961	7.961	32.136	249	0	622.742	OK	10-09-2020	13:44:10.481	0.023	20.000	OK
10-09-2020	13:44:25.480	15.022	7.951	7.951	32.013	250	0	622.742	OK	10-09-2020	13:44:25.480	15.022	20.000	OK
10-09-2020	13:44:40.480	30.021	7.946	7.946	31.952	250	0	622.744	OK	10-09-2020	13:44:40.480	30.021	20.000	OK
10-09-2020	13:44:55.480	45.021	7.940	7.940	31.875	251	0	622.744	OK	10-09-2020	13:44:55.480	45.021	20.000	OK
10-09-2020	13:45:10.480	60.022	7.935	7.935	31.805	251	0	622.742	OK	10-09-2020	13:45:10.480	60.022	20.000	OK
10-09-2020	13:45:25.481	75.023	7.929	7.929	31.730	252	0	622.744	OK	10-09-2020	13:45:25.481	75.023	20.000	OK
10-09-2020	13:45:40.480	90.022	7.924	7.924	31.673	252	0	622.747	OK	10-09-2020	13:45:40.480	90.022	20.000	OK
10-09-2020	13:45:55.481	105.023	7.923	7.923	31.658	253	0	622.749	OK	10-09-2020	13:45:55.481	105.023	20.000	OK
10-09-2020	13:46:10.482	120.024	7.919	7.919	31.598	253	0	622.751	OK	10-09-2020	13:46:10.482	120.024	20.000	OK
10-09-2020	13:46:25.482	135.024	7.917	7.917	31.572	253	0	622.753	OK	10-09-2020	13:46:25.482	135.024	20.000	OK
10-09-2020	13:46:40.482	150.024	7.913	7.913	31.523	254	0	622.757	OK	10-09-2020	13:46:40.482	150.024	20.000	OK
10-09-2020	13:46:55.482	165.024	7.908	7.908	31.470	254	0	622.757	OK	10-09-2020	13:46:55.482	165.024	20.000	OK
10-09-2020	13:47:10.482	180.024	7.905	7.905	31.429	254	1	622.760	OK	10-09-2020	13:47:10.482	180.024	20.000	OK
10-09-2020	13:47:25.481	195.023	7.903	7.903	31.405	254	0	622.764	OK	10-09-2020	13:47:25.481	195.023	20.000	OK
10-09-2020	13:47:40.482	210.024	7.902	7.902	31.383	255	0	622.766	OK	10-09-2020	13:47:40.482	210.024	20.000	OK
10-09-2020	13:47:55.482	225.023	7.900	7.900	31.364	255	0	622.768	OK	10-09-2020	13:47:55.482	225.023	20.000	OK
10-09-2020	13:48:10.481	240.023	7.898	7.898	31.341	255	0	622.770	OK	10-09-2020	13:48:10.481	240.023	20.000	OK
10-09-2020	13:48:25.482	255.024	7.897	7.897	31.319	255	0	622.773	OK	10-09-2020	13:48:25.482	255.024	20.000	OK
