#--- Experiment --------------------------------------------------------------------------
#ROTTMPT50_2020005975
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/10/2020	9/10/2020	9/10/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.361949	23.960201	4.007550	20.000000	2.000000	622.679260	53.029198	10.063831	20.000000	6.500000	622.686829	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
10-09-2020	14:34:41.933	0.026	7.994	7.994	32.540	246	0	622.815	OK	10-09-2020	14:34:41.933	0.026	20.000	OK
10-09-2020	14:34:56.931	15.025	7.997	7.997	32.585	245	0	622.817	OK	10-09-2020	14:34:56.931	15.025	20.000	OK
10-09-2020	14:35:11.932	30.025	8.003	8.003	32.665	245	0	622.821	OK	10-09-2020	14:35:11.932	30.025	20.000	OK
10-09-2020	14:35:26.932	45.025	8.008	8.008	32.730	244	0	622.821	OK	10-09-2020	14:35:26.932	45.025	20.000	OK
10-09-2020	14:35:41.932	60.025	8.011	8.011	32.772	244	0	622.821	OK	10-09-2020	14:35:41.932	60.025	20.000	OK
10-09-2020	14:35:56.932	75.025	8.017	8.017	32.856	244	0	622.815	OK	10-09-2020	14:35:56.932	75.025	20.000	OK
10-09-2020	14:36:11.932	90.025	8.018	8.018	32.877	243	0	622.812	OK	10-09-2020	14:36:11.932	90.025	20.000	OK
10-09-2020	14:36:26.932	105.025	8.020	8.020	32.909	242	-1	622.804	OK	10-09-2020	14:36:26.932	105.025	20.000	OK
10-09-2020	14:36:41.932	120.025	8.022	8.022	32.932	242	0	622.799	OK	10-09-2020	14:36:41.932	120.025	20.000	OK
10-09-2020	14:36:56.932	135.025	8.028	8.028	33.022	242	0	622.789	OK	10-09-2020	14:36:56.932	135.025	20.000	OK
10-09-2020	14:37:11.932	150.025	8.029	8.029	33.038	242	0	622.779	OK	10-09-2020	14:37:11.932	150.025	20.000	OK
10-09-2020	14:37:26.931	165.025	8.031	8.031	33.066	241	0	622.768	OK	10-09-2020	14:37:26.931	165.025	20.000	OK
10-09-2020	14:37:41.931	180.025	8.032	8.032	33.091	241	0	622.757	OK	10-09-2020	14:37:41.931	180.025	20.000	OK
10-09-2020	14:37:56.932	195.025	8.034	8.034	33.125	241	0	622.747	OK	10-09-2020	14:37:56.932	195.025	20.000	OK
10-09-2020	14:38:11.933	210.026	8.034	8.034	33.129	241	1	622.742	OK	10-09-2020	14:38:11.933	210.026	20.000	OK
10-09-2020	14:38:26.933	225.026	8.036	8.036	33.158	241	0	622.734	OK	10-09-2020	14:38:26.933	225.026	20.000	OK
10-09-2020	14:38:41.933	240.026	8.038	8.038	33.184	241	0	622.729	OK	10-09-2020	14:38:41.933	240.026	20.000	OK
10-09-2020	14:38:56.932	255.026	8.039	8.039	33.202	241	0	622.725	OK	10-09-2020	14:38:56.932	255.026	20.000	OK
10-09-2020	14:39:11.932	270.026	8.040	8.040	33.216	241	0	622.721	OK	10-09-2020	14:39:11.932	270.026	20.000	OK
10-09-2020	14:39:26.933	285.026	8.041	8.041	33.234	241	0	622.723	OK	10-09-2020	14:39:26.933	285.026	20.000	OK
10-09-2020	14:39:41.933	300.027	8.041	8.041	33.229	241	0	622.718	OK	10-09-2020	14:39:41.933	300.027	20.000	OK
10-09-2020	14:39:56.934	315.027	8.042	8.042	33.249	241	0	622.716	OK	10-09-2020	14:39:56.934	315.027	20.000	OK
10-09-2020	14:40:11.933	330.027	8.042	8.042	33.251	241	0	622.718	OK	10-09-2020	14:40:11.933	330.027	20.000	OK
10-09-2020	14:40:26.934	345.027	8.043	8.043	33.265	240	0	622.716	OK	10-09-2020	14:40:26.934	345.027	20.000	OK
10-09-2020	14:40:41.933	360.027	8.045	8.045	33.293	241	0	622.718	OK	10-09-2020	14:40:41.933	360.027	20.000	OK
10-09-2020	14:40:56.934	375.027	8.045	8.045	33.285	240	0	622.720	OK	10-09-2020	14:40:56.934	375.027	20.000	OK
10-09-2020	14:41:11.934	390.027	8.046	8.046	33.305	240	0	622.721	OK	10-09-2020	14:41:11.934	390.027	20.000	OK
10-09-2020	14:41:26.934	405.027	8.046	8.046	33.302	240	0	622.721	OK	10-09-2020	14:41:26.934	405.027	20.000	OK
10-09-2020	14:41:41.934	420.027	8.046	8.046	33.303	240	0	622.723	OK	10-09-2020	14:41:41.934	420.027	20.000	OK
10-09-2020	14:41:56.934	435.027	8.046	8.046	33.296	240	0	622.727	OK	10-09-2020	14:41:56.934	435.027	20.000	OK
10-09-2020	14:42:11.934	450.027	8.047	8.047	33.318	240	0	622.729	OK	10-09-2020	14:42:11.934	450.027	20.000	OK
10-09-2020	14:42:26.934	465.027	8.049	8.049	33.336	240	1	622.731	OK	10-09-2020	14:42:26.934	465.027	20.000	OK
10-09-2020	14:42:41.933	480.027	8.049	8.049	33.336	240	0	622.734	OK	10-09-2020	14:42:41.933	480.027	20.000	OK
10-09-2020	14:42:56.934	495.027	8.049	8.049	33.338	240	0	622.736	OK	10-09-2020	14:42:56.934	495.027	20.000	OK
10-09-2020	14:43:11.933	510.027	8.049	8.049	33.330	240	0	622.740	OK	10-09-2020	14:43:11.933	510.027	20.000	OK
10-09-2020	14:43:26.934	525.027	8.047	8.047	33.307	240	0	622.742	OK	10-09-2020	14:43:26.934	525.027	20.000	OK
10-09-2020	14:43:41.935	540.028	8.048	8.048	33.321	240	0	622.746	OK	10-09-2020	14:43:41.935	540.028	20.000	OK
10-09-2020	14:43:56.935	555.028	8.049	8.049	33.335	240	0	622.749	OK	10-09-2020	14:43:56.935	555.028	20.000	OK
10-09-2020	14:44:11.935	570.028	8.049	8.049	33.332	240	0	622.751	OK	10-09-2020	14:44:11.935	570.028	20.000	OK
10-09-2020	14:44:26.935	585.028	8.048	8.048	33.316	240	0	622.757	OK	10-09-2020	14:44:26.935	585.028	20.000	OK
10-09-2020	14:44:41.941	600.034	8.051	8.051	33.355	240	0	622.757	OK	10-09-2020	14:44:41.941	600.034	20.000	OK
10-09-2020	14:44:56.936	615.029	8.050	8.050	33.342	240	0	622.759	OK	10-09-2020	14:44:56.936	615.029	20.000	OK
10-09-2020	14:45:11.935	630.029	8.050	8.050	33.333	240	0	622.762	OK	10-09-2020	14:45:11.935	630.029	20.000	OK
10-09-2020	14:45:26.936	645.029	8.051	8.051	33.350	240	0	622.764	OK	10-09-2020	14:45:26.936	645.029	20.000	OK
10-09-2020	14:45:41.938	660.031	8.051	8.051	33.348	240	0	622.766	OK	10-09-2020	14:45:41.938	660.031	20.000	OK
10-09-2020	14:45:56.938	675.031	8.049	8.049	33.323	240	0	622.768	OK	10-09-2020	14:45:56.938	675.031	20.000	OK
10-09-2020	14:46:11.937	690.030	8.052	8.052	33.364	240	0	622.772	OK	10-09-2020	14:46:11.937	690.030	20.000	OK
10-09-2020	14:46:26.938	705.032	8.052	8.052	33.364	240	0	622.777	OK	10-09-2020	14:46:26.938	705.032	20.000	OK
10-09-2020	14:46:41.938	720.032	8.051	8.051	33.342	240	0	622.781	OK	10-09-2020	14:46:41.938	720.032	20.000	OK
10-09-2020	14:46:56.939	735.032	8.050	8.050	33.331	240	0	622.785	OK	10-09-2020	14:46:56.939	735.032	20.000	OK
10-09-2020	14:47:11.939	750.032	8.051	8.051	33.338	240	0	622.787	OK	10-09-2020	14:47:11.939	750.032	20.000	OK
10-09-2020	14:47:26.939	765.032	8.050	8.050	33.333	240	0	622.789	OK	10-09-2020	14:47:26.939	765.032	20.000	OK
10-09-2020	14:47:41.939	780.032	8.051	8.051	33.343	240	0	622.793	OK	10-09-2020	14:47:41.939	780.032	20.000	OK
10-09-2020	14:47:56.940	795.033	8.052	8.052	33.346	240	0	622.795	OK	10-09-2020	14:47:56.940	795.033	20.000	OK
10-09-2020	14:48:11.940	810.033	8.052	8.052	33.349	239	0	622.797	OK	10-09-2020	14:48:11.940	810.033	20.000	OK
10-09-2020	14:48:26.941	825.034	8.051	8.051	33.339	239	0	622.802	OK	10-09-2020	14:48:26.941	825.034	20.000	OK
10-09-2020	14:48:41.941	840.034	8.051	8.051	33.337	239	0	622.804	OK	10-09-2020	14:48:41.941	840.034	20.000	OK
10-09-2020	14:48:56.940	855.034	8.053	8.053	33.356	239	0	622.806	OK	10-09-2020	14:48:56.940	855.034	20.000	OK
10-09-2020	14:49:11.941	870.034	8.053	8.053	33.366	239	0	622.808	OK	10-09-2020	14:49:11.941	870.034	20.000	OK
10-09-2020	14:49:26.941	885.034	8.052	8.052	33.338	239	-1	622.813	OK	10-09-2020	14:49:26.941	885.034	20.000	OK
10-09-2020	14:49:41.942	900.035	8.051	8.051	33.324	239	0	622.813	OK	10-09-2020	14:49:41.942	900.035	20.000	OK
10-09-2020	14:49:56.942	915.035	8.051	8.051	33.332	239	0	622.817	OK	10-09-2020	14:49:56.942	915.035	20.000	OK
10-09-2020	14:50:11.942	930.035	8.053	8.053	33.355	239	0	622.821	OK	10-09-2020	14:50:11.942	930.035	20.000	OK
10-09-2020	14:50:26.942	945.035	8.052	8.052	33.340	239	1	622.821	OK	10-09-2020	14:50:26.942	945.035	20.000	OK
10-09-2020	14:50:41.942	960.036	8.052	8.052	33.337	239	0	622.825	OK	10-09-2020	14:50:41.942	960.036	20.000	OK
10-09-2020	14:50:56.942	975.035	8.053	8.053	33.356	239	1	622.826	OK	10-09-2020	14:50:56.942	975.035	20.000	OK
10-09-2020	14:51:11.942	990.035	8.052	8.052	33.337	239	0	622.830	OK	10-09-2020	14:51:11.942	990.035	20.000	OK
10-09-2020	14:51:26.942	1005.035	8.052	8.052	33.338	239	0	622.832	OK	10-09-2020	14:51:26.942	1005.035	20.000	OK
10-09-2020	14:51:41.941	1020.035	8.052	8.052	33.331	239	-1	622.836	OK	10-09-2020	14:51:41.941	1020.035	20.000	OK
10-09-2020	14:51:56.942	1035.035	8.052	8.052	33.326	239	0	622.839	OK	10-09-2020	14:51:56.942	1035.035	20.000	OK
10-09-2020	14:52:11.942	1050.035	8.052	8.052	33.330	239	0	622.841	OK	10-09-2020	14:52:11.942	1050.035	20.000	OK
10-09-2020	14:52:26.942	1065.035	8.052	8.052	33.331	239	0	622.845	OK	10-09-2020	14:52:26.942	1065.035	20.000	OK
