#--- Experiment --------------------------------------------------------------------------																													
#GOERE6_2020005964																													
#																													
#--- System ------------------------------------------------------------------------------																													
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com																													
#<<DeviceNameDisabled>>																													
#--- Instrument --------------------------------------------------------------------------																													
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A Ch.1] - pH Sensor - XBE7-225-577																													
#--- Settings & Calibration --------------------------------------------------------------																													
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)									
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000									
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/10/2020	9/10/2020	9/10/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.361949	23.960201	4.007550	20.000000	2.000000	622.679260	53.029198	10.063831	20.000000	6.500000	622.686829	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------																													
#Compensation Channel [A Int. T1] - Fixed Temperature																													
#Settings: n/a																													
#Calibration: n/a																													
#--- Measurement Data --------------------------------------------------------------------																													
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [Comment]	Time [Comment]	Comment												
10-09-2020	14:58:53.884	0.027	8.057	8.057	33.440	239	0	622.749	OK	10-09-2020	14:58:53.884	0.027	20.000	OK															
10-09-2020	14:59:08.880	15.024	8.057	8.057	33.452	239	1	622.747	OK	10-09-2020	14:59:08.880	15.024	20.000	OK															
10-09-2020	14:59:23.881	30.024	8.059	8.059	33.468	239	0	622.747	OK	10-09-2020	14:59:23.881	30.024	20.000	OK															
10-09-2020	14:59:38.880	45.024	8.059	8.059	33.472	239	0	622.747	OK	10-09-2020	14:59:38.880	45.024	20.000	OK															
10-09-2020	14:59:53.881	60.024	8.060	8.060	33.483	239	0	622.747	OK	10-09-2020	14:59:53.881	60.024	20.000	OK															
10-09-2020	15:00:08.881	75.024	8.061	8.061	33.496	239	-1	622.749	OK	10-09-2020	15:00:08.881	75.024	20.000	OK															
10-09-2020	15:00:23.880	90.023	8.062	8.062	33.515	239	0	622.747	OK	10-09-2020	15:00:23.880	90.023	20.000	OK															
10-09-2020	15:00:38.881	105.024	8.063	8.063	33.527	239	0	622.751	OK	10-09-2020	15:00:38.881	105.024	20.000	OK															
10-09-2020	15:00:53.881	120.024	8.064	8.064	33.537	239	0	622.751	OK	10-09-2020	15:00:53.881	120.024	20.000	OK															
10-09-2020	15:01:08.881	135.024	8.063	8.063	33.524	239	0	622.753	OK	10-09-2020	15:01:08.881	135.024	20.000	OK															
10-09-2020	15:01:23.882	150.026	8.064	8.064	33.537	239	1	622.755	OK	10-09-2020	15:01:23.882	150.026	20.000	OK															
10-09-2020	15:01:38.883	165.026	8.063	8.063	33.526	238	0	622.755	OK	10-09-2020	15:01:38.883	165.026	20.000	OK															
10-09-2020	15:01:53.884	180.027	8.065	8.065	33.553	238	0	622.759	OK	10-09-2020	15:01:53.884	180.027	20.000	OK															
10-09-2020	15:02:08.884	195.027	8.064	8.064	33.541	238	0	622.759	OK	10-09-2020	15:02:08.884	195.027	20.000	OK															
10-09-2020	15:02:23.885	210.028	8.066	8.066	33.566	238	0	622.762	OK	10-09-2020	15:02:23.885	210.028	20.000	OK															
10-09-2020	15:02:38.885	225.028	8.065	8.065	33.557	238	0	622.766	OK	10-09-2020	15:02:38.885	225.028	20.000	OK															
10-09-2020	15:02:53.885	240.028	8.065	8.065	33.555	238	0	622.766	OK	10-09-2020	15:02:53.885	240.028	20.000	OK															
10-09-2020	15:03:08.885	255.028	8.065	8.065	33.542	238	0	622.770	OK	10-09-2020	15:03:08.885	255.028	20.000	OK															
10-09-2020	15:03:23.886	270.029	8.065	8.065	33.547	238	0	622.773	OK	10-09-2020	15:03:23.886	270.029	20.000	OK															
