#--- Experiment --------------------------------------------------------------------------
#WALCRN20_2020005960
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/10/2020	9/10/2020	9/10/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.361949	23.960201	4.007550	20.000000	2.000000	622.679260	53.029198	10.063831	20.000000	6.500000	622.686829	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
10-09-2020	15:48:21.762	0.035	8.134	8.134	34.551	232	0	622.783	OK	10-09-2020	15:48:21.762	0.035	20.000	OK
10-09-2020	15:48:36.762	15.035	8.127	8.127	34.443	233	-1	622.787	OK	10-09-2020	15:48:36.762	15.035	20.000	OK
10-09-2020	15:48:51.762	30.036	8.122	8.122	34.375	233	0	622.789	OK	10-09-2020	15:48:51.762	30.036	20.000	OK
10-09-2020	15:49:06.762	45.036	8.118	8.118	34.307	234	0	622.793	OK	10-09-2020	15:49:06.762	45.036	20.000	OK
10-09-2020	15:49:21.764	60.037	8.114	8.114	34.250	234	0	622.797	OK	10-09-2020	15:49:21.764	60.037	20.000	OK
10-09-2020	15:49:36.764	75.037	8.109	8.109	34.172	235	0	622.799	OK	10-09-2020	15:49:36.764	75.037	20.000	OK
10-09-2020	15:49:51.764	90.037	8.105	8.105	34.112	235	-1	622.804	OK	10-09-2020	15:49:51.764	90.037	20.000	OK
10-09-2020	15:50:06.764	105.037	8.102	8.102	34.070	235	0	622.806	OK	10-09-2020	15:50:06.764	105.037	20.000	OK
10-09-2020	15:50:21.764	120.037	8.098	8.098	34.011	236	1	622.808	OK	10-09-2020	15:50:21.764	120.037	20.000	OK
10-09-2020	15:50:36.764	135.037	8.094	8.094	33.951	236	0	622.813	OK	10-09-2020	15:50:36.764	135.037	20.000	OK
10-09-2020	15:50:51.764	150.037	8.092	8.092	33.915	236	-1	622.815	OK	10-09-2020	15:50:51.764	150.037	20.000	OK
10-09-2020	15:51:06.764	165.037	8.088	8.088	33.859	237	0	622.817	OK	10-09-2020	15:51:06.764	165.037	20.000	OK
10-09-2020	15:51:21.765	180.038	8.085	8.085	33.818	237	0	622.821	OK	10-09-2020	15:51:21.765	180.038	20.000	OK
10-09-2020	15:51:36.765	195.038	8.083	8.083	33.783	237	1	622.823	OK	10-09-2020	15:51:36.765	195.038	20.000	OK
10-09-2020	15:51:51.763	210.037	8.080	8.080	33.735	237	0	622.823	OK	10-09-2020	15:51:51.763	210.037	20.000	OK
10-09-2020	15:52:06.765	225.038	8.076	8.076	33.683	238	0	622.826	OK	10-09-2020	15:52:06.765	225.038	20.000	OK
10-09-2020	15:52:21.765	240.038	8.076	8.076	33.676	238	0	622.825	OK	10-09-2020	15:52:21.765	240.038	20.000	OK
10-09-2020	15:52:36.765	255.038	8.071	8.071	33.612	238	0	622.819	OK	10-09-2020	15:52:36.765	255.038	20.000	OK
