#--- Experiment --------------------------------------------------------------------------
#GOERE2_2020005963
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/15/2020	9/15/2020	9/15/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.364250	24.265301	4.007550	20.000000	2.000000	622.707825	53.051502	10.063831	20.000000	6.500000	622.602600	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
15-09-2020	11:57:55.869	0.028	8.060	8.060	33.814	237	0	622.746	OK	15-09-2020	11:57:55.869	0.028	20.000	OK
15-09-2020	11:58:10.869	15.027	8.060	8.060	33.819	237	0	622.751	OK	15-09-2020	11:58:10.869	15.027	20.000	OK
15-09-2020	11:58:25.869	30.028	8.062	8.062	33.843	237	0	622.755	OK	15-09-2020	11:58:25.869	30.028	20.000	OK
15-09-2020	11:58:40.869	45.027	8.061	8.061	33.830	237	0	622.759	OK	15-09-2020	11:58:40.869	45.027	20.000	OK
15-09-2020	11:58:55.869	60.028	8.061	8.061	33.828	237	0	622.762	OK	15-09-2020	11:58:55.869	60.028	20.000	OK
15-09-2020	11:59:10.869	75.027	8.062	8.062	33.833	237	0	622.764	OK	15-09-2020	11:59:10.869	75.027	20.000	OK
15-09-2020	11:59:25.870	90.029	8.062	8.062	33.840	237	0	622.768	OK	15-09-2020	11:59:25.870	90.029	20.000	OK
15-09-2020	11:59:40.871	105.030	8.062	8.062	33.830	237	0	622.773	OK	15-09-2020	11:59:40.871	105.030	20.000	OK
15-09-2020	11:59:55.871	120.030	8.062	8.062	33.828	237	0	622.775	OK	15-09-2020	11:59:55.871	120.030	20.000	OK
15-09-2020	12:00:10.871	135.029	8.062	8.062	33.834	237	0	622.777	OK	15-09-2020	12:00:10.871	135.029	20.000	OK
15-09-2020	12:00:25.870	150.029	8.061	8.061	33.819	237	0	622.785	OK	15-09-2020	12:00:25.870	150.029	20.000	OK
15-09-2020	12:00:40.871	165.029	8.060	8.060	33.796	237	0	622.783	OK	15-09-2020	12:00:40.871	165.029	20.000	OK
15-09-2020	12:00:55.872	180.031	8.061	8.061	33.816	237	0	622.785	OK	15-09-2020	12:00:55.872	180.031	20.000	OK
15-09-2020	12:01:10.872	195.031	8.061	8.061	33.809	237	0	622.787	OK	15-09-2020	12:01:10.872	195.031	20.000	OK
15-09-2020	12:01:25.872	210.031	8.060	8.060	33.802	237	0	622.791	OK	15-09-2020	12:01:25.872	210.031	20.000	OK
15-09-2020	12:01:40.872	225.030	8.060	8.060	33.792	237	0	622.793	OK	15-09-2020	12:01:40.872	225.030	20.000	OK
15-09-2020	12:01:55.872	240.031	8.058	8.058	33.766	237	0	622.797	OK	15-09-2020	12:01:55.872	240.031	20.000	OK
15-09-2020	12:02:10.873	255.031	8.060	8.060	33.794	237	0	622.800	OK	15-09-2020	12:02:10.873	255.031	20.000	OK
