#--- Experiment --------------------------------------------------------------------------
#NOORDWK2_2020004017
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/15/2020	9/15/2020	9/15/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.364250	24.265301	4.007550	20.000000	2.000000	622.707825	53.051502	10.063831	20.000000	6.500000	622.602600	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
15-09-2020	13:38:21.798	0.028	7.906	7.906	31.766	252	0	622.770	OK	15-09-2020	13:38:21.798	0.028	20.000	OK
15-09-2020	13:38:36.796	15.026	7.898	7.898	31.671	253	0	622.773	OK	15-09-2020	13:38:36.796	15.026	20.000	OK
15-09-2020	13:38:51.796	30.026	7.890	7.890	31.579	254	0	622.777	OK	15-09-2020	13:38:51.796	30.026	20.000	OK
15-09-2020	13:39:06.796	45.026	7.885	7.885	31.514	254	0	622.783	OK	15-09-2020	13:39:06.796	45.026	20.000	OK
15-09-2020	13:39:21.796	60.026	7.877	7.877	31.414	255	0	622.785	OK	15-09-2020	13:39:21.796	60.026	20.000	OK
15-09-2020	13:39:36.796	75.027	7.871	7.871	31.341	256	0	622.787	OK	15-09-2020	13:39:36.796	75.027	20.000	OK
15-09-2020	13:39:51.796	90.026	7.867	7.867	31.298	256	0	622.789	OK	15-09-2020	13:39:51.796	90.026	20.000	OK
15-09-2020	13:40:06.796	105.026	7.862	7.862	31.233	257	0	622.791	OK	15-09-2020	13:40:06.796	105.026	20.000	OK
15-09-2020	13:40:21.796	120.026	7.858	7.858	31.188	257	0	622.793	OK	15-09-2020	13:40:21.796	120.026	20.000	OK
15-09-2020	13:40:36.796	135.026	7.854	7.854	31.145	257	0	622.795	OK	15-09-2020	13:40:36.796	135.026	20.000	OK
15-09-2020	13:40:51.797	150.027	7.851	7.851	31.102	258	0	622.799	OK	15-09-2020	13:40:51.797	150.027	20.000	OK
15-09-2020	13:41:06.797	165.027	7.846	7.846	31.046	258	0	622.800	OK	15-09-2020	13:41:06.797	165.027	20.000	OK
15-09-2020	13:41:21.797	180.027	7.844	7.844	31.019	258	1	622.804	OK	15-09-2020	13:41:21.797	180.027	20.000	OK
15-09-2020	13:41:36.797	195.027	7.840	7.840	30.977	259	0	622.806	OK	15-09-2020	13:41:36.797	195.027	20.000	OK
15-09-2020	13:41:51.797	210.027	7.837	7.837	30.938	259	0	622.808	OK	15-09-2020	13:41:51.797	210.027	20.000	OK
15-09-2020	13:42:06.797	225.028	7.835	7.835	30.920	259	-1	622.808	OK	15-09-2020	13:42:06.797	225.028	20.000	OK
15-09-2020	13:42:21.799	240.029	7.833	7.833	30.895	260	0	622.808	OK	15-09-2020	13:42:21.799	240.029	20.000	OK
15-09-2020	13:42:36.799	255.029	7.829	7.829	30.849	260	0	622.810	OK	15-09-2020	13:42:36.799	255.029	20.000	OK
