#--- Experiment --------------------------------------------------------------------------																													
#TERSLG10_2020004021																													
#																													
#--- System ------------------------------------------------------------------------------																													
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com																													
#<<DeviceNameDisabled>>																													
#--- Instrument --------------------------------------------------------------------------																													
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A Ch.1] - pH Sensor - XBE7-225-577																													
#--- Settings & Calibration --------------------------------------------------------------																													
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)									
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000									
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/15/2020	9/15/2020	9/15/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.364250	24.265301	4.007550	20.000000	2.000000	622.707825	53.051502	10.063831	20.000000	6.500000	622.602600	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------																													
#Compensation Channel [A Int. T1] - Fixed Temperature																													
#Settings: n/a																													
#Calibration: n/a																													
#--- Measurement Data --------------------------------------------------------------------																													
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [Comment]	Time [Comment]	Comment												
15-09-2020	16:30:10.233	0.029	7.840	7.840	31.012	257	0	622.721	OK	15-09-2020	16:30:10.233	0.029	20.000	OK															
15-09-2020	16:30:25.232	15.029	7.845	7.845	31.066	257	0	622.727	OK	15-09-2020	16:30:25.232	15.029	20.000	OK															
15-09-2020	16:30:40.232	30.029	7.848	7.848	31.108	256	0	622.731	OK	15-09-2020	16:30:40.232	30.029	20.000	OK															
15-09-2020	16:30:55.232	45.028	7.852	7.852	31.150	256	1	622.738	OK	15-09-2020	16:30:55.232	45.028	20.000	OK															
15-09-2020	16:31:10.233	60.030	7.856	7.856	31.186	256	0	622.742	OK	15-09-2020	16:31:10.233	60.030	20.000	OK															
15-09-2020	16:31:25.233	75.029	7.857	7.857	31.203	255	0	622.744	OK	15-09-2020	16:31:25.233	75.029	20.000	OK															
15-09-2020	16:31:40.233	90.029	7.859	7.859	31.224	255	0	622.749	OK	15-09-2020	16:31:40.233	90.029	20.000	OK															
15-09-2020	16:31:55.233	105.029	7.860	7.860	31.230	255	0	622.753	OK	15-09-2020	16:31:55.233	105.029	20.000	OK															
15-09-2020	16:32:10.233	120.029	7.864	7.864	31.274	255	0	622.759	OK	15-09-2020	16:32:10.233	120.029	20.000	OK															
15-09-2020	16:32:25.234	135.030	7.865	7.865	31.284	254	0	622.764	OK	15-09-2020	16:32:25.234	135.030	20.000	OK															
15-09-2020	16:32:40.235	150.031	7.867	7.867	31.308	254	0	622.768	OK	15-09-2020	16:32:40.235	150.031	20.000	OK															
15-09-2020	16:32:55.235	165.032	7.866	7.866	31.293	254	0	622.773	OK	15-09-2020	16:32:55.235	165.032	20.000	OK															
15-09-2020	16:33:10.235	180.031	7.870	7.870	31.332	254	0	622.775	OK	15-09-2020	16:33:10.235	180.031	20.000	OK															
15-09-2020	16:33:25.237	195.033	7.871	7.871	31.348	254	0	622.783	OK	15-09-2020	16:33:25.237	195.033	20.000	OK															
15-09-2020	16:33:40.237	210.033	7.873	7.873	31.373	254	0	622.785	OK	15-09-2020	16:33:40.237	210.033	20.000	OK															
15-09-2020	16:33:55.238	225.035	7.872	7.872	31.359	253	0	622.789	OK	15-09-2020	16:33:55.238	225.035	20.000	OK															
15-09-2020	16:34:10.238	240.034	7.874	7.874	31.375	253	-1	622.793	OK	15-09-2020	16:34:10.238	240.034	20.000	OK															
15-09-2020	16:34:25.238	255.035	7.874	7.874	31.379	253	0	622.797	OK	15-09-2020	16:34:25.238	255.035	20.000	OK															
15-09-2020	16:34:40.238	270.034	7.876	7.876	31.396	253	1	622.799	OK	15-09-2020	16:34:40.238	270.034	20.000	OK															
