#--- Experiment --------------------------------------------------------------------------																													
#SCHOUWN10_2020004014																													
#																													
#--- System ------------------------------------------------------------------------------																													
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com																													
#<<DeviceNameDisabled>>																													
#--- Instrument --------------------------------------------------------------------------																													
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A Ch.1] - pH Sensor - XBE7-225-577																													
#--- Settings & Calibration --------------------------------------------------------------																													
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)									
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000									
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/16/2020	9/16/2020	9/16/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.354800	24.353750	4.007550	20.000000	2.000000	622.679199	53.057446	10.063831	20.000000	6.500000	622.675781	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------																													
#Compensation Channel [A Int. T1] - Fixed Temperature																													
#Settings: n/a																													
#Calibration: n/a																													
#--- Measurement Data --------------------------------------------------------------------																													
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [Comment]	Time [Comment]	Comment												
16-09-2020	11:00:16.546	0.033	7.788	7.788	30.435	264	0	622.708	OK	16-09-2020	11:00:16.546	0.033	20.000	OK															
16-09-2020	11:00:31.542	15.029	7.793	7.793	30.480	263	0	622.716	OK	16-09-2020	11:00:31.542	15.029	20.000	OK															
16-09-2020	11:00:46.543	30.029	7.796	7.796	30.514	263	0	622.718	OK	16-09-2020	11:00:46.543	30.029	20.000	OK															
16-09-2020	11:01:01.542	45.029	7.797	7.797	30.516	263	-1	622.723	OK	16-09-2020	11:01:01.542	45.029	20.000	OK															
16-09-2020	11:01:16.542	60.029	7.801	7.801	30.558	262	0	622.727	OK	16-09-2020	11:01:16.542	60.029	20.000	OK															
16-09-2020	11:01:31.543	75.029	7.803	7.803	30.583	262	-1	622.733	OK	16-09-2020	11:01:31.543	75.029	20.000	OK															
16-09-2020	11:01:46.542	90.029	7.805	7.805	30.602	262	0	622.740	OK	16-09-2020	11:01:46.542	90.029	20.000	OK															
16-09-2020	11:02:01.542	105.029	7.806	7.806	30.611	262	-1	622.744	OK	16-09-2020	11:02:01.542	105.029	20.000	OK															
16-09-2020	11:02:16.543	120.030	7.810	7.810	30.648	261	0	622.749	OK	16-09-2020	11:02:16.543	120.030	20.000	OK															
16-09-2020	11:02:31.544	135.030	7.811	7.811	30.654	261	-1	622.751	OK	16-09-2020	11:02:31.544	135.030	20.000	OK															
16-09-2020	11:02:46.543	150.030	7.814	7.814	30.683	261	0	622.757	OK	16-09-2020	11:02:46.543	150.030	20.000	OK															
16-09-2020	11:03:01.544	165.031	7.814	7.814	30.688	261	0	622.762	OK	16-09-2020	11:03:01.544	165.031	20.000	OK															
16-09-2020	11:03:16.545	180.031	7.815	7.815	30.691	261	0	622.764	OK	16-09-2020	11:03:16.545	180.031	20.000	OK															
16-09-2020	11:03:31.545	195.032	7.815	7.815	30.695	261	-1	622.770	OK	16-09-2020	11:03:31.545	195.032	20.000	OK															
16-09-2020	11:03:46.547	210.034	7.817	7.817	30.708	260	0	622.772	OK	16-09-2020	11:03:46.547	210.034	20.000	OK															
16-09-2020	11:04:01.549	225.035	7.819	7.819	30.727	260	0	622.775	OK	16-09-2020	11:04:01.549	225.035	20.000	OK															
16-09-2020	11:04:16.547	240.034	7.819	7.819	30.725	260	0	622.781	OK	16-09-2020	11:04:16.547	240.034	20.000	OK															
16-09-2020	11:04:31.547	255.034	7.820	7.820	30.736	260	0	622.785	OK	16-09-2020	11:04:31.547	255.034	20.000	OK															
16-09-2020	11:04:46.548	270.034	7.819	7.819	30.728	260	0	622.787	OK	16-09-2020	11:04:46.548	270.034	20.000	OK															
16-09-2020	11:05:01.547	285.034	7.821	7.821	30.746	260	-1	622.789	OK	16-09-2020	11:05:01.547	285.034	20.000	OK															
16-09-2020	11:05:16.547	300.034	7.821	7.821	30.751	260	0	622.793	OK	16-09-2020	11:05:16.547	300.034	20.000	OK															
16-09-2020	11:05:31.547	315.034	7.822	7.822	30.751	260	0	622.797	OK	16-09-2020	11:05:31.547	315.034	20.000	OK															
16-09-2020	11:05:46.548	330.035	7.823	7.823	30.763	260	-1	622.800	OK	16-09-2020	11:05:46.548	330.035	20.000	OK															
16-09-2020	11:06:01.548	345.035	7.824	7.824	30.775	260	0	622.804	OK	16-09-2020	11:06:01.548	345.035	20.000	OK															
16-09-2020	11:06:16.548	360.035	7.824	7.824	30.774	260	0	622.804	OK	16-09-2020	11:06:16.548	360.035	20.000	OK															
16-09-2020	11:06:31.549	375.035	7.823	7.823	30.762	259	0	622.808	OK	16-09-2020	11:06:31.549	375.035	20.000	OK															
16-09-2020	11:06:46.548	390.035	7.825	7.825	30.781	259	0	622.813	OK	16-09-2020	11:06:46.548	390.035	20.000	OK															
16-09-2020	11:07:01.549	405.036	7.824	7.824	30.767	259	-1	622.813	OK	16-09-2020	11:07:01.549	405.036	20.000	OK															
16-09-2020	11:07:16.549	420.035	7.824	7.824	30.768	259	-1	622.815	OK	16-09-2020	11:07:16.549	420.035	20.000	OK															
