#--- Experiment --------------------------------------------------------------------------																													
#WALCRN20_2020004012																													
#																													
#--- System ------------------------------------------------------------------------------																													
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com																													
#<<DeviceNameDisabled>>																													
#--- Instrument --------------------------------------------------------------------------																													
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A Ch.1] - pH Sensor - XBE7-225-577																													
#--- Settings & Calibration --------------------------------------------------------------																													
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)									
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000									
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/16/2020	9/16/2020	9/16/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.354800	24.353750	4.007550	20.000000	2.000000	622.679199	53.057446	10.063831	20.000000	6.500000	622.675781	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------																													
#Compensation Channel [A Int. T1] - Fixed Temperature																													
#Settings: n/a																													
#Calibration: n/a																													
#--- Measurement Data --------------------------------------------------------------------																													
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [Comment]	Time [Comment]	Comment												
16-09-2020	11:23:13.055	0.023	7.848	7.848	31.106	258	0	622.675	OK	16-09-2020	11:23:13.055	0.023	20.000	OK															
16-09-2020	11:23:28.056	15.023	7.855	7.855	31.183	257	0	622.682	OK	16-09-2020	11:23:28.056	15.023	20.000	OK															
16-09-2020	11:23:43.056	30.023	7.862	7.862	31.260	256	0	622.686	OK	16-09-2020	11:23:43.056	30.023	20.000	OK															
16-09-2020	11:23:58.056	45.023	7.869	7.869	31.333	256	0	622.690	OK	16-09-2020	11:23:58.056	45.023	20.000	OK															
16-09-2020	11:24:13.056	60.023	7.873	7.873	31.383	255	0	622.693	OK	16-09-2020	11:24:13.056	60.023	20.000	OK															
16-09-2020	11:24:28.055	75.022	7.879	7.879	31.444	254	0	622.699	OK	16-09-2020	11:24:28.055	75.022	20.000	OK															
16-09-2020	11:24:43.057	90.025	7.885	7.885	31.511	254	0	622.703	OK	16-09-2020	11:24:43.057	90.025	20.000	OK															
16-09-2020	11:24:58.060	105.027	7.889	7.889	31.556	254	0	622.710	OK	16-09-2020	11:24:58.060	105.027	20.000	OK															
16-09-2020	11:25:13.057	120.025	7.893	7.893	31.600	253	0	622.714	OK	16-09-2020	11:25:13.057	120.025	20.000	OK															
16-09-2020	11:25:28.058	135.026	7.896	7.896	31.640	253	0	622.718	OK	16-09-2020	11:25:28.058	135.026	20.000	OK															
16-09-2020	11:25:43.058	150.026	7.899	7.899	31.668	252	0	622.723	OK	16-09-2020	11:25:43.058	150.026	20.000	OK															
16-09-2020	11:25:58.060	165.027	7.901	7.901	31.693	252	0	622.727	OK	16-09-2020	11:25:58.060	165.027	20.000	OK															
16-09-2020	11:26:13.060	180.027	7.904	7.904	31.732	252	0	622.731	OK	16-09-2020	11:26:13.060	180.027	20.000	OK															
16-09-2020	11:26:28.059	195.026	7.908	7.908	31.776	252	0	622.734	OK	16-09-2020	11:26:28.059	195.026	20.000	OK															
16-09-2020	11:26:43.059	210.027	7.908	7.908	31.774	251	0	622.738	OK	16-09-2020	11:26:43.059	210.027	20.000	OK															
16-09-2020	11:26:58.059	225.027	7.911	7.911	31.810	251	0	622.742	OK	16-09-2020	11:26:58.059	225.027	20.000	OK															
16-09-2020	11:27:13.059	240.026	7.912	7.912	31.822	251	0	622.746	OK	16-09-2020	11:27:13.059	240.026	20.000	OK															
16-09-2020	11:27:28.059	255.027	7.913	7.913	31.825	251	0	622.751	OK	16-09-2020	11:27:28.059	255.027	20.000	OK															
16-09-2020	11:27:43.060	270.027	7.916	7.916	31.868	250	0	622.755	OK	16-09-2020	11:27:43.060	270.027	20.000	OK															
16-09-2020	11:27:58.060	285.027	7.917	7.917	31.874	250	0	622.757	OK	16-09-2020	11:27:58.060	285.027	20.000	OK															
16-09-2020	11:28:13.059	300.027	7.919	7.919	31.897	250	0	622.762	OK	16-09-2020	11:28:13.059	300.027	20.000	OK															
16-09-2020	11:28:28.060	315.027	7.920	7.920	31.914	250	0	622.764	OK	16-09-2020	11:28:28.060	315.027	20.000	OK															
16-09-2020	11:28:43.060	330.028	7.921	7.921	31.916	250	0	622.768	OK	16-09-2020	11:28:43.060	330.028	20.000	OK															
16-09-2020	11:28:58.060	345.027	7.922	7.922	31.931	250	0	622.770	OK	16-09-2020	11:28:58.060	345.027	20.000	OK															
16-09-2020	11:29:13.061	360.029	7.923	7.923	31.939	250	0	622.775	OK	16-09-2020	11:29:13.061	360.029	20.000	OK															
16-09-2020	11:29:28.063	375.030	7.925	7.925	31.958	249	0	622.779	OK	16-09-2020	11:29:28.063	375.030	20.000	OK															
16-09-2020	11:29:43.063	390.030	7.924	7.924	31.953	249	0	622.783	OK	16-09-2020	11:29:43.063	390.030	20.000	OK															
