#--- Experiment --------------------------------------------------------------------------																													
#NOORDWK20_2020003075																													
#																													
#--- System ------------------------------------------------------------------------------																													
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com																													
#<<DeviceNameDisabled>>																													
#--- Instrument --------------------------------------------------------------------------																													
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A Ch.1] - pH Sensor - XBE7-225-577																													
#--- Settings & Calibration --------------------------------------------------------------																													
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)									
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000									
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/16/2020	9/16/2020	9/16/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.354800	24.353750	4.007550	20.000000	2.000000	622.679199	53.057446	10.063831	20.000000	6.500000	622.675781	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------																													
#Compensation Channel [A Int. T1] - Fixed Temperature																													
#Settings: n/a																													
#Calibration: n/a																													
#--- Measurement Data --------------------------------------------------------------------																													
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [Comment]	Time [Comment]	Comment												
16-09-2020	12:50:16.081	0.028	7.778	7.778	30.293	265	0	622.772	OK	16-09-2020	12:50:16.081	0.028	20.000	OK															
16-09-2020	12:50:31.080	15.027	7.780	7.780	30.319	264	0	622.779	OK	16-09-2020	12:50:31.080	15.027	20.000	OK															
16-09-2020	12:50:46.079	30.026	7.781	7.781	30.329	264	0	622.781	OK	16-09-2020	12:50:46.079	30.026	20.000	OK															
16-09-2020	12:51:01.080	45.027	7.785	7.785	30.359	264	0	622.787	OK	16-09-2020	12:51:01.080	45.027	20.000	OK															
16-09-2020	12:51:16.081	60.028	7.788	7.788	30.394	264	0	622.793	OK	16-09-2020	12:51:16.081	60.028	20.000	OK															
16-09-2020	12:51:31.082	75.029	7.789	7.789	30.400	263	0	622.797	OK	16-09-2020	12:51:31.082	75.029	20.000	OK															
16-09-2020	12:51:46.083	90.030	7.790	7.790	30.406	263	0	622.800	OK	16-09-2020	12:51:46.083	90.030	20.000	OK															
16-09-2020	12:52:01.084	105.031	7.790	7.790	30.408	263	0	622.804	OK	16-09-2020	12:52:01.084	105.031	20.000	OK															
16-09-2020	12:52:16.085	120.033	7.792	7.792	30.434	263	0	622.804	OK	16-09-2020	12:52:16.085	120.033	20.000	OK															
16-09-2020	12:52:31.086	135.033	7.793	7.793	30.444	263	0	622.804	OK	16-09-2020	12:52:31.086	135.033	20.000	OK															
16-09-2020	12:52:46.087	150.035	7.794	7.794	30.448	263	0	622.802	OK	16-09-2020	12:52:46.087	150.035	20.000	OK															
16-09-2020	12:53:01.088	165.035	7.794	7.794	30.457	263	-1	622.800	OK	16-09-2020	12:53:01.088	165.035	20.000	OK															
16-09-2020	12:53:16.088	180.035	7.796	7.796	30.477	263	0	622.797	OK	16-09-2020	12:53:16.088	180.035	20.000	OK															
16-09-2020	12:53:31.090	195.037	7.797	7.797	30.491	262	0	622.789	OK	16-09-2020	12:53:31.090	195.037	20.000	OK															
16-09-2020	12:53:46.090	210.037	7.796	7.796	30.478	262	0	622.787	OK	16-09-2020	12:53:46.090	210.037	20.000	OK															
16-09-2020	12:54:01.091	225.038	7.799	7.799	30.512	262	0	622.783	OK	16-09-2020	12:54:01.091	225.038	20.000	OK															
16-09-2020	12:54:16.094	240.041	7.798	7.798	30.502	262	0	622.775	OK	16-09-2020	12:54:16.094	240.041	20.000	OK															
16-09-2020	12:54:31.092	255.039	7.799	7.799	30.523	262	0	622.764	OK	16-09-2020	12:54:31.092	255.039	20.000	OK															
16-09-2020	12:54:46.092	270.039	7.799	7.799	30.527	262	0	622.757	OK	16-09-2020	12:54:46.092	270.039	20.000	OK															
16-09-2020	12:55:01.093	285.040	7.799	7.799	30.528	262	0	622.751	OK	16-09-2020	12:55:01.093	285.040	20.000	OK															
16-09-2020	12:55:16.092	300.039	7.800	7.800	30.543	262	0	622.744	OK	16-09-2020	12:55:16.092	300.039	20.000	OK															
16-09-2020	12:55:31.092	315.039	7.801	7.801	30.554	262	0	622.734	OK	16-09-2020	12:55:31.092	315.039	20.000	OK															
16-09-2020	12:55:46.094	330.041	7.800	7.800	30.552	262	0	622.725	OK	16-09-2020	12:55:46.094	330.041	20.000	OK															
16-09-2020	12:56:01.092	345.039	7.800	7.800	30.559	262	0	622.718	OK	16-09-2020	12:56:01.092	345.039	20.000	OK															
16-09-2020	12:56:16.093	360.040	7.800	7.800	30.555	262	0	622.710	OK	16-09-2020	12:56:16.093	360.040	20.000	OK															
16-09-2020	12:56:31.093	375.041	7.799	7.799	30.555	262	0	622.701	OK	16-09-2020	12:56:31.093	375.041	20.000	OK															
16-09-2020	12:56:46.093	390.040	7.803	7.803	30.595	262	0	622.693	OK	16-09-2020	12:56:46.093	390.040	20.000	OK															
16-09-2020	12:57:01.093	405.040	7.803	7.803	30.603	262	0	622.684	OK	16-09-2020	12:57:01.093	405.040	20.000	OK															
16-09-2020	12:57:16.093	420.040	7.801	7.801	30.585	263	0	622.675	OK	16-09-2020	12:57:16.093	420.040	20.000	OK															
16-09-2020	12:57:31.092	435.039	7.802	7.802	30.600	262	0	622.667	OK	16-09-2020	12:57:31.092	435.039	20.000	OK															
16-09-2020	12:57:46.093	450.040	7.801	7.801	30.597	263	0	622.658	OK	16-09-2020	12:57:46.093	450.040	20.000	OK															
16-09-2020	12:58:01.093	465.040	7.803	7.803	30.619	263	0	622.649	OK	16-09-2020	12:58:01.093	465.040	20.000	OK															
16-09-2020	12:58:16.093	480.040	7.803	7.803	30.620	263	0	622.641	OK	16-09-2020	12:58:16.093	480.040	20.000	OK															
16-09-2020	12:58:31.093	495.041	7.803	7.803	30.621	263	0	622.636	OK	16-09-2020	12:58:31.093	495.041	20.000	OK															
16-09-2020	12:58:46.093	510.040	7.801	7.801	30.602	263	0	622.630	OK	16-09-2020	12:58:46.093	510.040	20.000	OK															
16-09-2020	12:59:01.093	525.040	7.804	7.804	30.641	263	0	622.625	OK	16-09-2020	12:59:01.093	525.040	20.000	OK															
16-09-2020	12:59:16.094	540.041	7.803	7.803	30.634	263	0	622.621	OK	16-09-2020	12:59:16.094	540.041	20.000	OK															
16-09-2020	12:59:31.093	555.040	7.803	7.803	30.630	263	0	622.617	OK	16-09-2020	12:59:31.093	555.040	20.000	OK															
16-09-2020	12:59:46.094	570.041	7.802	7.802	30.624	263	0	622.614	OK	16-09-2020	12:59:46.094	570.041	20.000	OK															
16-09-2020	13:00:01.096	585.043	7.802	7.802	30.620	263	-1	622.614	OK	16-09-2020	13:00:01.096	585.043	20.000	OK															
16-09-2020	13:00:16.096	600.043	7.803	7.803	30.633	263	0	622.610	OK	16-09-2020	13:00:16.096	600.043	20.000	OK															
16-09-2020	13:00:31.094	615.041	7.805	7.805	30.656	263	0	622.610	OK	16-09-2020	13:00:31.094	615.041	20.000	OK															
16-09-2020	13:00:46.095	630.043	7.804	7.804	30.645	263	0	622.608	OK	16-09-2020	13:00:46.095	630.043	20.000	OK															
16-09-2020	13:01:01.096	645.044	7.802	7.802	30.631	263	0	622.606	OK	16-09-2020	13:01:01.096	645.044	20.000	OK															
16-09-2020	13:01:16.095	660.042	7.804	7.804	30.648	263	0	622.606	OK	16-09-2020	13:01:16.095	660.042	20.000	OK															
