#--- Experiment --------------------------------------------------------------------------
#CRM2_2
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/16/2020	9/16/2020	9/16/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.354800	24.353750	4.007550	20.000000	2.000000	622.679199	53.057446	10.063831	20.000000	6.500000	622.675781	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
16-09-2020	15:17:45.074	0.058	7.990	7.990	32.848	238	0	622.671	OK	16-09-2020	15:17:45.074	0.058	20.000	OK
16-09-2020	15:18:00.069	15.053	7.991	7.991	32.851	238	0	622.675	OK	16-09-2020	15:18:00.069	15.053	20.000	OK
16-09-2020	15:18:15.068	30.052	7.990	7.990	32.846	239	0	622.679	OK	16-09-2020	15:18:15.068	30.052	20.000	OK
16-09-2020	15:18:30.069	45.052	7.989	7.989	32.827	239	0	622.684	OK	16-09-2020	15:18:30.069	45.052	20.000	OK
16-09-2020	15:18:45.069	60.052	7.988	7.988	32.805	239	0	622.688	OK	16-09-2020	15:18:45.069	60.052	20.000	OK
16-09-2020	15:19:00.068	75.052	7.986	7.986	32.776	239	0	622.692	OK	16-09-2020	15:19:00.068	75.052	20.000	OK
16-09-2020	15:19:15.068	90.052	7.986	7.986	32.785	239	0	622.693	OK	16-09-2020	15:19:15.068	90.052	20.000	OK
16-09-2020	15:19:30.070	105.054	7.985	7.985	32.764	239	0	622.699	OK	16-09-2020	15:19:30.070	105.054	20.000	OK
16-09-2020	15:19:45.069	120.053	7.984	7.984	32.748	239	0	622.705	OK	16-09-2020	15:19:45.069	120.053	20.000	OK
16-09-2020	15:20:00.069	135.053	7.984	7.984	32.742	239	0	622.707	OK	16-09-2020	15:20:00.069	135.053	20.000	OK
16-09-2020	15:20:15.071	150.055	7.981	7.981	32.712	239	0	622.710	OK	16-09-2020	15:20:15.071	150.055	20.000	OK
16-09-2020	15:20:30.070	165.054	7.981	7.981	32.707	239	0	622.716	OK	16-09-2020	15:20:30.070	165.054	20.000	OK
16-09-2020	15:20:45.072	180.056	7.979	7.979	32.678	239	0	622.720	OK	16-09-2020	15:20:45.072	180.056	20.000	OK
16-09-2020	15:21:00.073	195.057	7.979	7.979	32.679	239	-1	622.725	OK	16-09-2020	15:21:00.073	195.057	20.000	OK
16-09-2020	15:21:15.073	210.057	7.979	7.979	32.666	239	0	622.731	OK	16-09-2020	15:21:15.073	210.057	20.000	OK
16-09-2020	15:21:30.074	225.058	7.978	7.978	32.653	239	0	622.733	OK	16-09-2020	15:21:30.074	225.058	20.000	OK
16-09-2020	15:21:45.073	240.057	7.976	7.976	32.632	239	1	622.736	OK	16-09-2020	15:21:45.073	240.057	20.000	OK
16-09-2020	15:22:00.074	255.058	7.976	7.976	32.632	240	0	622.742	OK	16-09-2020	15:22:00.074	255.058	20.000	OK
