#--- Experiment --------------------------------------------------------------------------
#CRM_3
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.1.1.1035   www.pyroscience.com
#<<DeviceNameDisabled>>
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.03 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XBE7-225-577
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	40% (E)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	Fixed Temperature ('C)	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	9/16/2020	9/16/2020	9/16/2020	8.244444	1.081000	57.800000	-0.011500	-0.002090	0.000199	0.000000	0.032500	623.000000	2.540000	0.250000	0.000000	0.000000	-0.354800	24.353750	4.007550	20.000000	2.000000	622.679199	53.057446	10.063831	20.000000	6.500000	622.675781	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
16-09-2020	16:28:17.400	0.047	7.860	7.860	31.209	251	0	622.731	OK	16-09-2020	16:28:17.400	0.047	20.000	OK
16-09-2020	16:28:32.383	15.030	7.869	7.869	31.319	250	0	622.736	OK	16-09-2020	16:28:32.383	15.030	20.000	OK
16-09-2020	16:28:47.383	30.030	7.877	7.877	31.406	249	0	622.740	OK	16-09-2020	16:28:47.383	30.030	20.000	OK
16-09-2020	16:29:02.383	45.030	7.886	7.886	31.506	249	0	622.747	OK	16-09-2020	16:29:02.383	45.030	20.000	OK
16-09-2020	16:29:17.383	60.030	7.894	7.894	31.597	248	0	622.749	OK	16-09-2020	16:29:17.383	60.030	20.000	OK
16-09-2020	16:29:32.383	75.029	7.899	7.899	31.662	247	0	622.755	OK	16-09-2020	16:29:32.383	75.029	20.000	OK
16-09-2020	16:29:47.383	90.030	7.903	7.903	31.709	246	1	622.759	OK	16-09-2020	16:29:47.383	90.030	20.000	OK
16-09-2020	16:30:02.383	105.030	7.910	7.910	31.783	246	0	622.766	OK	16-09-2020	16:30:02.383	105.030	20.000	OK
16-09-2020	16:30:17.387	120.033	7.915	7.915	31.847	245	0	622.766	OK	16-09-2020	16:30:17.387	120.033	20.000	OK
16-09-2020	16:30:32.384	135.031	7.918	7.918	31.882	245	0	622.770	OK	16-09-2020	16:30:32.384	135.031	20.000	OK
16-09-2020	16:30:47.384	150.031	7.922	7.922	31.932	245	0	622.775	OK	16-09-2020	16:30:47.384	150.031	20.000	OK
16-09-2020	16:31:02.384	165.031	7.925	7.925	31.967	244	0	622.783	OK	16-09-2020	16:31:02.384	165.031	20.000	OK
16-09-2020	16:31:17.384	180.031	7.929	7.929	32.005	244	0	622.785	OK	16-09-2020	16:31:17.384	180.031	20.000	OK
16-09-2020	16:31:32.384	195.031	7.931	7.931	32.036	244	0	622.785	OK	16-09-2020	16:31:32.384	195.031	20.000	OK
16-09-2020	16:31:47.384	210.031	7.933	7.933	32.059	243	0	622.787	OK	16-09-2020	16:31:47.384	210.031	20.000	OK
16-09-2020	16:32:02.383	225.030	7.936	7.936	32.098	243	0	622.793	OK	16-09-2020	16:32:02.383	225.030	20.000	OK
16-09-2020	16:32:17.385	240.031	7.936	7.936	32.093	243	0	622.795	OK	16-09-2020	16:32:17.385	240.031	20.000	OK
16-09-2020	16:32:32.385	255.031	7.938	7.938	32.121	243	0	622.797	OK	16-09-2020	16:32:32.385	255.031	20.000	OK
16-09-2020	16:32:47.385	270.031	7.941	7.941	32.152	242	0	622.800	OK	16-09-2020	16:32:47.385	270.031	20.000	OK
