,bottleid,datetime,station,status,light,temperature,colour,odour,dirt,pH_rws_total_insitu,senshte,foam,ole,e,geldhd,salinity_rws,oxygen,aou_percent,wind_speed,wind_direction,pressure_air,chloride_gvol,sulfate_gvol,nitrite_gvol,nitrate_gvol,ammonia_gvol,phosphate_gvol,doc_gvol,silicate_gvol,lat,lon,depth,station_bottleid,doc_vol,nitrate_vol,nitrite_vol,ammonia_vol,din_vol,silicate_vol,phosphate_vol,sulfate_vol,chloride_vol,silicate_vol_unc,phosphate_vol_unc,nitrate_vol_unc,nitrite_vol_unc,ammonia_vol_unc,doc_vol_unc,salinity_nioz,datfile_stem,salinity,gid,rgb,datenum,day_of_year,dic,dic_std,dic_count,dic_poisoned,alkalinity,alkalinity_std,alkalinity_count,emf0,emf0_std,emf0_count,pH_vindta_free_lab,pH_vindta_free_lab_std,pH_vindta_free_lab_count,pH_vindta_temperature,pH_vindta_temperature_std,pH_vindta_temperature_count,alkalinity_poisoned,pH_spectro_total_lab,pH_spectro_total_lab_std,pH_spectro_total_lab_count,pH_spectro_temperature,density_nutrients,doc,nitrate,nitrite,ammonia,din,silicate,phosphate,sulfate,chloride,pH_calc12_total_25,pH_calc12_total_insitu,fco2_calc12_insitu,pH_calc12_total_20,pH_vindta_total_25,pH_vindta_total_20,pH_spectro_total_25,pH_spectro_total_20,pH_spectro_total_insitu,fco2_calc13s_insitu,fco2_calc23s_insitu,fco2_calc13v_insitu,fco2_calc23v_insitu,pH_vindta_total_insitu,dic_flag,alkalinity_flag,pH_spectro_flag,pH_vindta_flag,something_flag
0,2018005572,2018-01-23 11:27:00,WALCRN2,Authorised,,5.46,0.0,0.0,0.0,7.98,-350.0,0.0,0.0,,3056.0,31.23,9.33,91.06,9.6,192.0,,18271.3477,2543.5493,0.0046,0.5958,0.0579,30.6,1.5714,0.6619,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005572,130.83442958719797,42.536315254209455,0.3284106246548565,4.133690253807868,46.99841613267218,23.567740786896923,0.9879329479569149,26478.755985842185,515389.97503631725,3.5351611180345386,0.24698323698922872,12.760894576262837,0.09852318739645695,0.6200535380711801,26.166885917439597,31.2,WALCRN2_2018005572,31.23,1,[[0.72 0.36 0.12]],736717.4770833333,23,2329.566113073457,,1,2327.238874199258,2454.304904248305,,1,642.1741611516793,,1,7.81320642277454,,1,25.0,,1,2451.853051197108,7.734505408904791,0.00040462132063364564,4.0,23.2,1.0210787645573765,128.13353301291394,41.658211619598575,0.3216310396947859,4.048355912680023,46.028198571973384,23.08121724293543,0.967538433124863,25932.138543024503,504750.4589518436,7.705518770110422,7.995104043266248,488.6023173650851,7.77654188820647,7.707478023577089,7.778400090356311,7.709167636316514,7.7801223718491554,7.998027658150743,483.82619047263694,484.1219526030378,485.99162579689323,486.1536019554235,7.996227197868355,2,2,2,2,2
1,2018005573,2018-02-13 16:12:00,WALCRN2,Authorised,,4.8,0.0,0.0,0.0,8.02,-350.0,0.0,0.0,,3017.0,31.45,9.34,89.64,16.4,180.0,1004.0,14281.2207,1339.0889,0.0055,0.6761,0.0374,33.3,1.5882,0.651,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005573,132.2331940119561,48.269222462858366,0.3926648773047197,2.6701211656720947,51.33200850583518,23.179633256186577,1.0751035021884072,13940.130127003955,402838.2635431505,3.4769449884279866,0.2687758755471018,14.48076673885751,0.1177994631914159,0.4005181748508142,26.44663880239122,31.4,WALCRN2_2018005573,31.45,1,[[0.72 0.36 0.12]],736738.675,44,2324.1206877008317,,1,2321.79888881202,2455.3499215030533,,1,639.6231207910078,,1,7.77346561043701,,1,25.0,,1,2452.897024478575,7.737072336743996,0.0005598329306940172,4.0,23.3,1.0212452932357625,129.48230448434393,47.26506235335474,0.3844961439778895,2.6145737790496493,50.26413227638228,22.697419914409707,1.0527377793654233,13650.129130911711,394457.8900009208,7.718836264121164,8.019806717900153,457.15119014145006,7.790146558147091,7.71481556045704,7.785886342432936,7.713120407895846,7.784154066981039,8.012612733460637,464.39034390623806,463.93158064880845,462.18843988466057,461.8699569983723,8.014434269031238,2,2,2,2,2
2,2018005574,2018-03-15 07:28:00,WALCRN2,Authorised,,4.14,0.0,0.0,0.0,7.13,-350.0,0.0,0.0,,2954.0,31.3,10.27,97.1,12.0,326.0,991.9,18086.3457,2292.2927,0.005,0.4733,0.0674,9.7,1.1966,0.2727,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005574,99.6286613491416,33.79059753242252,0.35696807027701793,4.811929587334202,38.959495190033735,9.709809506854192,0.31316828742425074,23863.13449927129,510171.52165634756,1.4564714260281288,0.07829207185606268,10.137179259726755,0.10709042108310537,0.7217894381001303,19.92573226982832,31.3,WALCRN2_2018005574,31.3,1,[[0.72 0.36 0.12]],736768.3111111111,74,2262.957782385394,,1,2260.697085300094,2433.6383398993607,,1,641.4607579890347,,1,7.913555691457247,,1,25.0,,1,2431.2071327665944,7.856821662856609,0.000362369819564541,4.0,23.1,1.0211317488703533,97.56690207640466,33.09132006697864,0.34958081625796156,4.712349403157322,38.15325028639393,9.508870444578632,0.30668744534747766,23369.300313764943,499613.8081307673,7.817632673781969,8.135310698796994,336.30970795858576,7.890757598785008,7.8172969196989275,7.890241321966025,7.82921440150312,7.902345704244593,8.14641854159189,325.8244127685745,326.5580846269796,336.6152996897992,336.593862120462,8.133845191920068,2,2,2,2,2
3,2018005575,2018-04-18 22:14:00,WALCRN2,Authorised,,9.17,0.0,0.0,0.0,8.56,-350.0,0.0,0.0,,3417.0,31.71,10.86,120.9,5.8,136.0,1026.6,18884.9707,2550.8892,0.0032,0.2477,0.0073,3.7,1.4798,0.0187,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005575,123.20783308077864,17.68419820152347,0.2284595649772915,0.5211733826044461,18.433831149105206,0.6658358554388465,0.11945594468760082,26555.165521549032,532698.7772026573,0.09987537831582698,0.029863986171900204,5.30525946045704,0.06853786949318745,0.07817600739066692,24.64156661615573,31.7,WALCRN2_2018005575,31.71,1,[[0.72 0.36 0.12]],736802.9263888889,108,2160.7478634264057,,1,2158.589274152254,2464.447549442158,,1,642.4896345812674,,1,8.164215617031633,,1,25.0,,1,2461.98556387828,8.106774553884936,0.0011096707895797446,4.0,22.7,1.021442124710843,120.62145284605056,17.31297131154605,0.22366373918832205,0.5102329050233596,18.046867955757733,0.6518586215810671,0.11694832413673682,25997.719184595462,521516.3584069508,8.064164672165195,8.309991482418532,213.50845160598934,8.140175929443851,8.058961208584746,8.134782340524197,8.071996762454233,8.147939521973468,8.317456116658274,208.7998393643678,209.24946120486152,216.71175233586283,216.40355532391115,8.304070742761514,2,2,2,2,2
4,2018005576,2018-05-16 10:52:00,WALCRN2,Authorised,,12.86,,,,8.45,-350.0,,,,3746.0,31.76,8.71,101.7,4.0,360.0,1029.0,18341.3984,2625.6101,0.0014,0.0062,0.0132,4.8,2.1709,0.0492,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005576,180.74867200639434,0.4426404071435023,0.09995105967756501,0.9423957055313273,1.4849871723523946,1.7518248175182483,0.15496987418931996,27333.02206953987,517365.93374046235,0.26277372262773724,0.03874246854732999,0.13279212214305067,0.029985317903269502,0.1413593558296991,36.14973440127887,31.8,WALCRN2_2018005576,31.76,1,[[0.72 0.36 0.12]],736830.4527777778,136,2020.0665532345686,,1,2018.048504729839,2441.160469286725,,1,641.9270689148599,,1,8.332193045056316,,1,25.0,,1,2438.7217475391863,8.259082481686837,0.0009894884762402835,4.0,24.4,1.021479980016884,176.94783602455604,0.43333243509695213,0.09784925953802143,0.9225787327870593,1.4537604274220328,1.7149869324793743,0.15171112231368303,26758.255280821155,506486.6114477455,8.244286691845025,8.434563885248274,146.21244842326792,8.321730330659179,8.224289110014855,8.30155440570705,8.249843992824568,8.327317397725846,8.44017861136891,143.76594390783902,144.0479421751789,155.32230353089724,154.2483342570392,8.414143602889126,2,2,2,2,2
5,2018005577,2018-06-11 16:01:00,WALCRN2,Authorised,,15.67,,,,8.15,-350.0,,,,4011.0,31.9,7.77,94.99,7.9,60.0,1010.5,18957.5234,2593.5549,0.002,-0.0011,0.0118,7.2,1.4702,0.0202,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005577,122.408539123774,0.0,0.14278722811080719,0.8424446458537622,0.9066988985036255,0.7192451486558661,0.23245481128397996,26999.322298563395,534745.3111998083,0.10788677229837991,0.05811370282099499,0.0,0.04283616843324215,0.12636669687806432,24.481707824754803,31.9,WALCRN2_2018005577,31.9,1,[[0.72 0.36 0.12]],736856.6673611111,162,2147.7981437523686,,1,2145.6524912611076,2435.9251540741366,,1,642.3394847680764,,1,8.143083708813082,,1,25.0,,1,2433.491662411725,8.056902261573917,0.0008918578743302248,4.0,24.4,1.0215859802103882,119.8220624548556,0.0,0.13977015236779305,0.8246438989699789,0.8875404675354859,0.7040475912832543,0.22754307105517207,26428.830095145866,523446.2116342683,8.039386886523445,8.181927567334037,299.3665533388509,8.115159250499806,8.036569708663569,8.112183772133362,8.047881447046217,8.123604340928575,8.190292133892996,292.26570330097746,292.9393793904287,301.75775883711583,301.5292603885262,8.178785207044358,2,2,2,2,2
6,2018005578,2018-07-18 17:25:00,WALCRN2,Authorised,,19.95,0.0,0.0,0.0,8.2,-350.0,0.0,0.0,,4389.0,31.75,10.06,133.57,2.0,260.0,1018.1,18009.3418,2483.6934,0.0038,0.0031,0.0152,6.9,1.7921,0.0292,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005578,149.20986461958603,0.22132020357175114,0.27129573341053365,1.0851829336421346,1.5777988706244193,1.0397009079579846,0.22276919414714746,25855.64647095565,507999.43020746653,0.1559551361936977,0.055692298536786866,0.06639606107152533,0.0813887200231601,0.1627774400463202,29.841972923917208,31.8,WALCRN2_2018005578,31.75,1,[[0.72 0.36 0.12]],736893.7256944445,199,,,0,,2476.435745993497,,1,642.5590222333043,,1,,,0,25.0,,1,2473.961784209288,8.019460242802278,0.0008420785501265941,4.0,24.4,1.0214724088755152,146.07331859687062,0.2166678234759085,0.26559281587369427,1.062371263494777,1.5446319028443798,1.0178453171364035,0.21808635476741095,25312.133980612125,497320.7556009234,,,,,,,8.0104856805028,8.085840176923565,8.086600534240606,395.5625232788118,,,,,9,2,2,9,9
7,2018005579,2018-08-16 21:30:00,WALCRN2,Authorised,,20.69,0.0,0.0,0.0,8.06,-350.0,0.0,0.0,,4480.0,31.92,5.86,79.0,4.0,192.0,1013.8,17717.416,2592.0879,0.0117,0.0419,0.0981,27.4,1.7917,0.3991,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005579,149.17656070471085,2.99139242892141,0.835305284448222,7.003713538835092,10.830411252204724,14.210432615275058,0.8846196984973681,26984.050593379136,499764.91826862056,2.1315648922912587,0.22115492462434203,0.897417728676423,0.2505915853344666,1.0505570308252639,29.83531214094217,,No Sample,31.92,1,[[0.72 0.36 0.12]],736922.8958333334,228,,,0,,,,0,,,0,,,0,,,0,,,,,,1.0216011237381644,146.02231461811186,2.928141286665325,0.8176432709781457,6.855624348970606,10.601408906614076,13.909961809044741,0.8659149622510551,26413.489537522404,489197.698256164,,,,,,,,,,,,,,,9,9,9,9,9
8,2018005580,2018-09-12 11:06:00,WALCRN2,Authorised,,18.7,0.0,0.0,0.0,8.86,-350.0,0.0,0.0,,4345.0,32.38,6.12,79.44,7.8,21.0,1020.0,15155.9102,1881.0181,0.0052,0.0177,0.0376,13.0,0.9361,0.1772,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005580,77.93948678667178,1.2636669687806434,0.37124679308809866,2.684399888483175,4.319313650351917,6.309417838703934,0.41971007592940823,19581.69997917968,427511.11236478016,0.94641267580559,0.10492751898235206,0.37910009063419303,0.1113740379264296,0.40265998327247626,15.587897357334356,32.5,WALCRN2_2018005580,32.38,1,[[0.72 0.36 0.12]],736949.4625,255,2202.819311884705,,1,2200.6186931915136,2426.3115173980664,,1,644.5220018283807,,1,7.993192204903708,,1,25.0,,1,2423.887629768298,7.92671513640724,0.0003197300491660478,4.0,25.0,1.021949469444168,76.26549953498443,1.236525881722845,0.3632731403931522,2.626744245919716,4.226543268035714,6.1739039231906325,0.41069552700847917,19161.123484735548,418329.0124875752,7.915453527909802,8.009577837841677,475.01877227753795,7.98995786131475,7.914027959792492,7.988346873294629,7.926715136407242,8.001187471693703,8.020787582982923,460.62919646210804,461.83519299840816,476.8672427273389,476.71124265984696,8.007909672103903,2,2,2,2,2
9,2018005581,2018-10-17 10:59:00,WALCRN2,Authorised,,16.48,0.0,0.0,0.0,9.12,-350.0,0.0,0.0,,4160.0,32.55,5.13,63.92,6.2,236.0,1018.2,20102.5156,2765.4666,0.0037,0.016,0.0284,11.8,1.2138,0.0966,51.54888888888889,3.410833333333333,3.5,WALCRN2_2018005581,101.06072968877491,1.1422978248864575,0.2641563720049933,2.027578639173462,3.4340328360649126,3.439558483176073,0.3809676073820783,28788.9506558401,567042.7372607647,0.5159337724764109,0.09524190184551957,0.3426893474659372,0.079246911601498,0.3041367958760193,20.212145937754983,32.55,WALCRN2_2018005581,32.55,1,[[0.72 0.36 0.12]],736984.4576388889,290,2211.472744901815,,1,2209.263481420395,2423.564522323076,,1,646.2233428923965,,1,7.987298648341882,,1,25.0,,1,2421.143378944132,7.883500675782943,0.0011082030792413026,4.0,25.0,1.0220782276194367,98.87768563875927,1.1176226965983114,0.2584502485883595,1.9837802864620024,3.3598532316486733,3.365259517549147,0.37273820837511157,28167.071636868342,554793.871875626,7.89128269230091,8.018664033516973,461.7493033779634,7.965481256060774,7.875662307680564,7.949483013827425,7.883500675782943,7.957424213028827,8.010385519836934,471.6385178731575,470.82531579322284,481.79268902822207,480.13622659316275,8.00237826735691,2,2,2,2,2
