filename,time,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept
2020-08-20_130648_20082020_CRM1,13:31,8.332375,8.341000000000001,8.341977272727274,8.343,1.1669321687932125e-06,98.0,8.345590909090909,8.346,1.6649910677114027e-06,0.0007341396590303423,8.34369161830238
2020-08-20_142849_20082020_B1S2,14:37,8.192400000000001,8.196,8.20025,8.2005,3.810101782000354e-06,34.0,8.200666666666665,8.201,9.000847556934927e-06,0.0005163977794949533,8.202752854876517
2020-08-20_144520_20082020_B1S3,14:53,8.226125,8.221,8.21175,8.211500000000001,1.5875774624555356e-06,32.0,8.21175,8.211500000000001,9.827387217580202e-06,0.0008864052604274271,8.210904559237584
2020-08-20_150143_20082020_B1S4,15:09,8.182399999999998,8.185500000000001,8.19975,8.199,2.6190204077532056e-05,33.0,8.2,8.199,1.3426313319606976e-05,0.0012909944487360075,8.185856062599997
2020-08-20_151832_20082020_B1S5,15:26,8.20285,8.203,8.2045,8.2045,1.6459990298551424e-10,31.0,8.204555555555556,8.205,1.040027184367767e-05,0.0011303883305208626,8.204555469135084
2020-08-20_153344_20082020_B1S6,15:41,8.20045,8.202,8.203875,8.204,3.96811098925286e-06,32.0,8.203875,8.204,6.9338889460678365e-06,0.0006408699444619935,8.201761828621963
2020-08-20_154832_20082020_B1S7,15:56,8.198849999999998,8.2,8.20325,8.2035,5.2907698587663865e-11,32.0,8.20325,8.2035,1.2943765082650116e-05,0.0011649647450216608,8.203249971824972
2020-08-20_160442_20082020_B1S8,16:12,8.210325000000001,8.208,8.203375000000001,8.203,1.1109580308396947e-06,31.0,8.203333333333335,8.203,7.956924108074545e-06,0.000866025403784728,8.203916626911214
2020-08-20_161906_20082020_B1S9,16:27,8.2241,8.226500000000001,8.23225,8.232000000000001,5.7141115679984504e-06,34.0,8.2325,8.2325,1.8467077169386273e-05,0.0010488088481697398,8.235628672267977
2020-08-20_163638_20082020_B1S10,16:43,8.21745,8.215,8.21,8.21,9.157233298459636e-06,27.0,8.210307692307696,8.21,3.4414629328678333e-06,0.0008548504142650895,8.214840885557752
2020-08-20_165122_20082020_B1S11,16:59,8.196425,8.199,8.20225,8.202,1.9043048032454895e-06,34.0,8.2025,8.2025,9.711917577111236e-06,0.0005477225575048626,8.201457332817238
2020-08-20_170635_20082020_B1S12,17:12,8.207625,8.207,8.205875,8.206,5.882409062288649e-07,24.0,8.205874999999999,8.206,3.0130224124202975e-06,0.0008062257748300692,8.205597019259688
2020-08-20_172206_20082020_B1S13,17:29,8.2052,8.205,8.204875,8.205,1.0358650537919392e-11,28.0,8.204833333333333,8.205,6.021234894264204e-06,0.001029857301088591,8.204833328127762
2020-08-20_173806_20082020_B1S14,17:43,8.205475,8.206,8.206375000000001,8.206,4.009792204585566e-07,20.0,8.206299999999997,8.206,1.943761076404774e-06,0.0007326950970653934,8.206122552139398
2020-08-20_175237_20082020_B1S15,17:59,8.203800000000001,8.2035,8.202124999999999,8.202,4.4075479868893514e-11,29.0,8.202272727272726,8.202,6.760762082391272e-06,0.001009049958219075,8.202272704792705
2020-08-20_182643_20082020_CRM2,18:30,8.346725000000001,8.347000000000001,8.346875,8.347000000000001,9.114648546960397e-08,14.0,8.347000000000001,8.347000000000001,1.591201655965412e-06,0.000894427190999738,8.347036233395762
