bottle,station,cast,niskin,depth,counts,run_time,dic_cell_id,dbs_fname,analysis_datetime,analysis_datenum,salinity,dic_certified,alkalinity_certified,total_phosphate,total_silicate,total_ammonium,crm,crm_batch_186,temperature_override,file_good,k_dic_good,analyte_volume,file_path,reference_good,analysis_batch,logfile_index,blank_here,blank_here_min,blank_here_max,blank_here_std,blank_here_count,blank_good,analysis_datenum_scaled,blank,counts_corrected,temperature_analysis_dic,density_analysis_dic,k_dic_here,k_dic,dic,dic_offset,dic_self
junk-220810-03,0,0.0,0.0,0,210560.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 10:18:00,19214.429166666665,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16649,60.5,37.0,91.0,20.254629100529094,6.0,True,-1.4996013294365662,60.496145452920686,209894.54240001788,25.0,1.0233430585162893,,0.010943569450184936,2244.5996802868035,,2244.6063888535405
junk-220810-04,0,0.0,0.0,0,210668.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 10:36:00,19214.441666666666,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16668,69.0,49.0,94.0,13.291601358251256,6.0,True,-1.307383865023189,69.07598556171891,209908.1641588211,25.0,1.0233430585162893,,0.010943569450184936,2244.7453505605754,,2244.752059562686
junk-220810-05,0,0.0,0.0,0,210520.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 10:55:00,19214.45486111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16691,69.16666666666667,57.0,79.0,8.394773506308685,6.0,True,-1.1044876526086018,69.07934327179613,209760.12722401024,25.0,1.0233430585162893,,0.010943569450184936,2243.162252435452,,2243.1689567060644
junk-220810-06,0,0.0,0.0,0,210328.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 11:13:00,19214.46736111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16710,72.16666666666667,48.0,80.0,11.290359702959964,6.0,True,-0.9122701881952248,68.42311981941464,209575.34568198645,25.0,1.0233430585162893,,0.010943569450184936,2241.1862096788996,,2241.1929080435966
junk-220810-07,0,0.0,0.0,0,210143.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 11:31:00,19214.47986111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16729,68.0,49.0,101.0,16.30950643030009,6.0,True,-0.7200527237818476,67.71950049028403,209398.08549460687,25.0,1.0233430585162893,,0.010943569450184936,2239.2905998389756,,2239.2972925381528
CRM-186-0507-01,0,0.0,0.0,0,189341.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 11:53:00,19214.495138888888,33.525,2012.59,2212.0,0.42,3.3,0.0,True,True,25.0,True,True,95.939,data/R2CO2/,True,,16748,62.833333333333336,44.0,88.0,14.028740341012643,6.0,True,-0.48512026730768804,66.85483270189671,188605.59684027915,25.0,1.0222287671783659,0.010908093020578585,0.010943569450184936,2019.1355535928003,6.545553592800388,2016.94299813862
junk-220810-08,0,0.0,0.0,0,209773.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 12:45:00,19214.53125,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16767,63.333333333333336,34.0,91.0,19.005847053531244,6.0,True,0.07017462987408098,64.81028269685498,209060.08689033458,25.0,1.0233430585162893,,0.010943569450184936,2235.6760629843625,,2235.6827448805616
junk-220810-09,0,0.0,0.0,0,209773.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 13:02:00,19214.543055555554,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16786,62.333333333333336,42.0,93.0,18.598088312751095,6.0,True,0.25171334623030556,64.1418668100315,209067.43946508964,25.0,1.0233430585162893,,0.010943569450184936,2235.7546909789535,,2235.761373110153
junk-220810-10,0,0.0,0.0,0,209491.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 13:19:00,19214.55486111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16805,67.5,40.0,92.0,16.690815837859255,6.0,True,0.43325206264247285,63.473450913939175,208792.79203994668,25.0,1.0233430585162893,,0.010943569450184936,2232.817627844208,,2232.8243011972336
junk-220810-11,0,0.0,0.0,0,209502.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 13:41:00,19214.57013888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16824,63.833333333333336,41.0,87.0,16.87618308609964,6.0,True,0.6681845191166323,62.60844210635086,208813.30713683015,25.0,1.0233430585162893,,0.010943569450184936,2233.037015063042,,2233.0436890717633
junk-220810-12,0,0.0,0.0,0,209051.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 13:57:00,19214.58125,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16843,60.833333333333336,46.0,94.0,15.699433818524227,6.0,True,0.8390444874716471,61.97934479164304,208369.22720729193,25.0,1.0233430585162893,,0.010943569450184936,2228.288050861945,,2228.294710677159
CRM-186-0507-02,0,0.0,0.0,0,187572.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 14:15:00,19214.59375,33.525,2012.59,2212.0,0.42,3.3,0.0,True,True,25.0,True,True,95.939,data/R2CO2/,True,,16863,58.5,34.0,92.0,19.956202043475106,6.0,True,1.0312619518850241,61.2716103125414,186898.01228656204,25.0,1.0222287671783659,0.0110077542792756,0.010943569450184936,2000.8548411381432,-11.73515886185669,1998.682136493745
CRM-186-0566-01,0,0.0,0.0,0,188999.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 14:36:00,19214.608333333334,33.525,2012.59,2212.0,0.42,3.3,0.0,True,True,25.0,True,True,95.939,data/R2CO2/,True,,16882,57.666666666666664,25.0,72.0,16.275407487644937,6.0,True,1.2555156603579738,60.445920086956704,188334.09487904346,25.0,1.0222287671783659,0.010923818100258557,0.010943569450184936,2016.2289629508196,3.638962950819632,2014.039563729094
CRM-186-0630-01,0,0.0,0.0,0,188804.0,11.0,C_Aug10-22_0908,data/R2CO2/testing-2022.dbs,2022-08-10 14:57:00,19214.622916666667,33.525,2012.59,2212.0,0.42,3.3,0.0,True,True,25.0,True,True,95.939,data/R2CO2/,True,,16901,64.33333333333333,23.0,91.0,22.01262264146541,6.0,True,1.4797693688309235,59.62022986137197,188148.17747152492,25.0,1.0222287671783659,0.010934612400627007,0.010943569450184936,2014.2386060693618,1.6486060693619038,2012.0513681526702
junk-220811-01,0,0.0,0.0,0,217673.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 07:25:00,19215.309027777777,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16925,60.333333333333336,0.0,129.0,42.121517330483506,6.0,True,-1.4883610284739404,61.26699476468873,216999.0630575884,25.0,1.0233430585162893,,,,,2320.581934836691
junk-220811-02,0,0.0,0.0,0,217208.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 07:42:00,19215.320833333335,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16944,59.0,44.0,69.0,8.504900548115382,6.0,True,-1.2765010255808464,57.524933346403266,216575.22573318955,25.0,1.0233430585162893,,,,,2316.049430297496
junk-220811-03,0,0.0,0.0,0,217095.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 07:59:00,19215.33263888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16963,57.166666666666664,38.0,98.0,20.73175235129813,6.0,True,-1.064641022753039,55.3338999119505,216486.32710096854,25.0,1.0233430585162893,,,,,2315.098750801202
junk-220811-04,0,0.0,0.0,0,216909.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 08:15:00,19215.34375,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,16982,53.5,22.0,78.0,19.024107513012712,6.0,True,-0.8652433730097072,54.09520295936518,216313.952767447,25.0,1.0233430585162893,,,,,2313.255384480798
junk-220811-05,0,0.0,0.0,0,216812.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 08:33:00,19215.35625,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17001,52.333333333333336,16.0,90.0,21.692292538031925,6.0,True,-0.6409210170321376,53.251911319667144,216226.22897548365,25.0,1.0233430585162893,,,,,2312.3172686934895
junk-220811-06,0,0.0,0.0,0,216725.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 08:49:00,19215.36736111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17020,47.833333333333336,27.0,60.0,11.639253507945524,6.0,True,-0.44152336728880587,52.787039761784584,216144.34256262038,25.0,1.0233430585162893,,,,,2311.4415776756505
junk-220811-07,0,0.0,0.0,0,216694.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 09:06:00,19215.379166666666,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17039,51.0,32.0,82.0,16.3707055437449,6.0,True,-0.22966336446099836,52.46188175646791,216116.91930067886,25.0,1.0233430585162893,,,,,2311.148314076448
junk-220811-08,0,0.0,0.0,0,216813.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 09:39:00,19215.402083333334,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17058,55.166666666666664,19.0,81.0,19.65041701564852,6.0,True,0.18159428817542722,52.081244294160555,216240.10631276423,25.0,1.0233430585162893,,,,,2312.465672551751
junk-220811-09,0,0.0,0.0,0,216498.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 09:56:00,19215.41388888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17077,56.5,43.0,87.0,15.261607604268518,6.0,True,0.39345429100323476,51.94788105484024,215926.57330839676,25.0,1.0233430585162893,,,,,2309.112759337941
junk-220811-10,0,0.0,0.0,0,216578.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 10:15:00,19215.427083333332,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17096,54.333333333333336,19.0,72.0,19.871811414385174,6.0,True,0.6302390000652803,51.82203498648617,216007.95761514865,25.0,1.0233430585162893,,,,,2309.9830808470138
junk-220811-11,0,0.0,0.0,0,216537.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 10:33:00,19215.439583333333,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17115,44.5,16.0,69.0,18.953891421024867,6.0,True,0.85456135604285,51.71542828135673,215968.1302889051,25.0,1.0233430585162893,,,,,2309.5571685297377
junk-220811-12,0,0.0,0.0,0,216280.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 10:51:00,19215.452083333334,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17134,57.333333333333336,40.0,87.0,16.407992632318624,6.0,True,1.0788837120204198,51.615577903360595,215712.22864306302,25.0,1.0233430585162893,,,,,2306.820563458413
junk-220811-13,0,0.0,0.0,0,216204.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 11:11:00,19215.46597222222,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17153,53.166666666666664,27.0,84.0,18.132996320397673,6.0,True,1.3281307741669413,51.50896836049825,215637.40134803453,25.0,1.0233430585162893,,,,,2306.0203624500346
junk-220811-14,0,0.0,0.0,0,216117.0,11.0,C_Aug11-22_0708,data/R2CO2/testing-2022.dbs,2022-08-11 11:28:00,19215.477777777778,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17172,46.666666666666664,25.0,69.0,17.065234314893605,6.0,True,1.5399907770600352,51.420325950064665,215551.37641454928,25.0,1.0233430585162893,,,,,2305.1004142079614
junk-220824-01,0,0.0,0.0,0,213768.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 08:43:00,19228.363194444446,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17195,57.833333333333336,36.0,78.0,14.644870167475785,6.0,True,-1.6226688761404195,66.98894438557454,213031.1216117587,25.0,1.0233430585162893,,0.010901022668457305,2269.285032473498,,2278.1488795601404
junk-220824-02,0,0.0,0.0,0,213663.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 09:01:00,19228.375694444443,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17214,74.16666666666667,47.0,90.0,16.415609102991645,6.0,True,-1.4949890380404864,65.38729470907356,212943.7397582002,25.0,1.0233430585162893,,0.010901022668457305,2268.3542091698896,,2277.214420452607
junk-220824-03,0,0.0,0.0,0,213506.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 09:18:00,19228.3875,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17233,65.16666666666667,48.0,81.0,11.216307572260826,6.0,True,-1.374402524229892,63.94340615761075,212802.62253226628,25.0,1.0233430585162893,,0.010901022668457305,2266.850977124669,,2275.705316769935
junk-220824-04,0,0.0,0.0,0,213430.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 09:34:00,19228.39861111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17252,57.0,41.0,79.0,13.366625103842281,6.0,True,-1.2609093347829563,62.645168329847365,212740.90314837167,25.0,1.0233430585162893,,0.010901022668457305,2266.1935197868593,,2275.045291398042
CRM-186-0687-01,0,0.0,0.0,0,189965.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 09:53:00,19228.411805555555,33.525,2012.59,2212.0,0.42,3.3,0.0,True,True,25.0,True,True,95.939,data/R2CO2/,True,,17271,62.833333333333336,38.0,77.0,12.48220956223519,6.0,True,-1.1261361723193648,61.17957299153932,189292.02469709306,25.0,1.0222287671783659,0.010868537107295791,0.010901022668457305,2018.6055396161057,6.015539616105798,2024.2836385158012
nuts-220824-01,0,0.0,0.0,0,200896.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 10:15:00,19228.427083333332,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17290,61.833333333333336,49.0,78.0,10.542243067245646,6.0,True,-0.9700830368391178,59.58513460475069,200240.56351934775,25.0,1.0233430585162893,,0.010901022668457305,2133.0353530065295,,2141.3670076593803
junk-220824-05,0,0.0,0.0,0,213123.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 10:43:00,19228.446527777778,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17309,55.666666666666664,9.0,98.0,29.629189811550518,6.0,True,-0.7714699552884001,57.71391799656749,212488.14690203776,25.0,1.0233430585162893,,0.010901022668457305,2263.5010682693055,,2272.3423231414286
junk-220824-06,0,0.0,0.0,0,213176.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 10:59:00,19228.45763888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17328,59.833333333333336,50.0,77.0,9.06305074954835,6.0,True,-0.6579767658414641,56.7235992893161,212552.04040781752,25.0,1.0233430585162893,,0.010901022668457305,2264.1816851446306,,2273.0255985121917
junk-220824-07,0,0.0,0.0,0,213187.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 11:16:00,19228.469444444443,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17347,53.833333333333336,24.0,87.0,22.0938654130256,6.0,True,-0.5373902520680297,55.733903578244735,212573.9270606393,25.0,1.0233430585162893,,0.010901022668457305,2264.4148297353536,,2273.2596537677146
